Sample,Treatment,Time,Sensor,Time.Order
S6.FC.nonIR5,nonIR,5',Sirt6,1
S6.FC.IR5,IR,5',Sirt6,2
S6.FC.IR30,IR,30',Sirt6,3
S6.FC.IR2,IR,2hr,Sirt6,4
S6.FC.IR8,IR,8hr,Sirt6,5
S6.FC.IR24,IR,24hr,Sirt6,6
S6.FC.nonIR24,nonIR,24hr,Sirt6,7
Ku.FC.nonIR5,nonIR,5',Ku80,1
Ku.FC.IR5,IR,5',Ku80,2
Ku.FC.IR30,IR,30',Ku80,3
Ku.FC.IR2,IR,2hr,Ku80,4
Ku.FC.IR8,IR,8hr,Ku80,5
Ku.FC.IR24,IR,24hr,Ku80,6
Ku.FC.nonIR24,nonIR,24hr,Ku80,7
Mre.FC.nonIR5,nonIR,5',Mre11,1
Mre.FC.IR5,IR,5',Mre11,2
Mre.FC.IR30,IR,30',Mre11,3
Mre.FC.IR2,IR,2hr,Mre11,4
Mre.FC.IR8,IR,8hr,Mre11,5
Mre.FC.IR24,IR,24hr,Mre11,6
Mre.FC.nonIR24,nonIR,24hr,Mre11,7
