NAME,Ku.FC.nonIR5,Ku.FC.IR5,Ku.FC.IR30,Ku.FC.IR2,Ku.FC.IR8,Ku.FC.IR24,Ku.FC.nonIR24
XRCC5,6.926333333,7.658666667,8.413333333,11.446,7.418666667,2.637666667,5.273666667
PTBP1,7.734333333,3.832333333,8.983666667,11.095,9.003333333,7.617333333,9.999333333
XRCC6,5.613,5.939333333,6.811333333,11.08,7.414333333,6.058666667,6.522
FLNA,8.502333333,9.320666667,7.524666667,11.04333333,10.20866667,7.761333333,10.91133333
NCL,7.608333333,7.597333333,3.672666667,10.732,7.827,6.127666667,5.923666667
DDX21,5.837,8.331666667,6.113,10.222,7.594666667,5.910666667,6.694
SPTAN1,7.886,8.458333333,7.996333333,9.903333333,8.614,5.856333333,7.82
DHX9,6.512666667,8.400666667,6.995,9.832,8.613,6.334,7.011
RPS18,5.116,4.794666667,3.776,9.735,8.867333333,5.843666667,2.935
NONO,6.370666667,7.814666667,8.552666667,9.589,7.141666667,8.374333333,8.254
RPL5,3.832666667,5.010666667,3.542666667,9.419666667,9.808666667,0,2.813666667
RPLP0,5.580333333,5.469333333,6.699333333,9.304,9.123333333,5.748333333,6.6
SLC25A5,2.458666667,3.18,3.996333333,9.147666667,11.05266667,3.726666667,5.757
PRKDC,2.335666667,4.206666667,3.208666667,9.094,7.429,0,2.573666667
ILF2,4.791333333,6.049333333,6.498666667,9.018666667,8.040666667,5.926666667,6.496666667
RCC2,6.574,4.768333333,8.133666667,9.005,7.002666667,4.821666667,8.370666667
FBL,7.355,8.457,6.507,8.929333333,7.776666667,5.013333333,6.061666667
SPTBN1,6.443833333,4.797166667,6.845166667,8.800833333,7.3765,5.993166667,6.366833333
SF3B3,7.778,8.213666667,6.444333333,8.735666667,7.929333333,6.580666667,6.183333333
DDX39B,5.349333333,6.143333333,6.644,8.698666667,8.017333333,6.366666667,6.328333333
LMNB1,6.387333333,5.322333333,6.779,8.657666667,6.600333333,7.633333333,7.500333333
LRPPRC,7.77,5.713666667,4.358666667,8.616333333,8.741666667,3.502,6.274333333
RPS11,1.633,4.355666667,2.831666667,8.409666667,7.766333333,2.387666667,5.130666667
RBBP7,4.256,5.195666667,3.143666667,8.395333333,6.502,2.945333333,2.744666667
RPSA,6.5685,6.308833333,7.584166667,8.307833333,10.2065,7.059833333,7.364833333
RPL17,4.559333333,4.464666667,3.350666667,8.234333333,7.517666667,4.493,4.745333333
EIF4A3,6.552666667,5.151333333,7.808666667,8.166666667,7.404666667,7.477,5.273333333
DDX5,6.996166667,7.211166667,7.3335,8.117166667,6.596833333,6.935833333,4.871833333
MYH9,3.9685,3.986166667,4.5715,8.065833333,5.827833333,0,1.402833333
PHB,5.470333333,4.961666667,5.023,7.938666667,9.090666667,4.038,4.948
EFTUD2,4.952666667,4.552333333,5.718333333,7.912666667,7.115666667,5.343666667,5.048333333
NOP2,4.054333333,3.837,5.430333333,7.873333333,6.544333333,2.810666667,4.608666667
RALY,3.906,0,2.303,7.862666667,5.973,0,2.299
FKBP1A,6.679666667,8.788666667,6.761666667,7.853333333,2.892666667,0,0
HSPA9,8.146333333,4.706666667,4.790333333,7.811333333,10.17833333,5.938333333,8.904333333
PABPC1,5.497,6.818,5.952333333,7.778666667,9.404333333,4.73,5.76
DHX15,4.567666667,1.929,2.907666667,7.751333333,6.245,3.968666667,2.607666667
RPS8,4.0455,4.490833333,5.173833333,7.7305,6.987166667,4.269166667,3.837166667
HSPD1,3.415166667,7.1965,3.982833333,7.7125,7.742166667,8.059833333,9.477166667
TPR,6.028,7.667,7.133333333,7.712333333,4.604,4.234666667,5.435333333
