NAME,Mre.FC.nonIR5,Mre.FC.IR5,Mre.FC.IR30,Mre.FC.IR2,Mre.FC.IR8,Mre.FC.IR24,Mre.FC.nonIR24
DHX9,63.15966667,67.953,75.23166667,33.785,82.17466667,70.28016667,70.524
RPL10A,43.094,0,75.23133333,0,70.796,0,64.469
RPLP0,0,0,73.12966667,0,58.153,52.19433333,57.14866667
MACROD1,0,0,69.795,0,44.77133333,50.22633333,0
PRPF19,58.69933333,57.34733333,69.067,40.132,76.27266667,57.923,70.81766667
PA2G4,0,25.61066667,68.47,27.52833333,0,50.20666667,0
PARP1,62.47433333,44.34933333,68.402,33.71266667,52.02533333,62.80683333,57.415
FKBP1A,45.34183333,50.7405,67.88516667,0,44.60516667,0,0
H2BC11,0,0,67.70133333,0,0,37.82733333,0
PCBP2,0,0,67.3085,0,50.1755,38.90366667,49.90383333
NOP2,47.3075,57.9805,64.9865,0,54.61616667,60.8275,77.41716667
NCL,57.61633333,63.051,63.86033333,0,64.62966667,60.12766667,75.458
RPL4,56.82166667,42.96533333,63.67433333,0,70.04133333,44.09966667,52.063
RPS11,56.62166667,0,63.35166667,0,58.58533333,74.02366667,51.95033333
HTRA2,0,39.00066667,63.256,0,57.868,0,58.96633333
ADAR,0,31.82233333,62.319,0,46.02233333,63.798,57.73766667
RFC5,0,58.93666667,60.856,0,33.14866667,44.531,50.75233333
PRKDC,55.39633333,32.12066667,58.291,33.39,0,64.59166667,64.72766667
NPM1,58.34666667,56.83766667,58.25366667,0,51.831,62.71066667,81.07866667
SND1,0,43.32666667,58.18866667,0,69.63866667,62.81933333,57.41933333
ACTB,63.86266667,58.35933333,58.13566667,38.23833333,63.14166667,0,56.39733333
RUVBL2,56.77133333,38.18966667,57.473,19.63733333,57.651,60.56633333,64.32366667
CCAR2,0,0,57.29033333,35.22566667,32.278,56.573,44.99466667
OGDH,49.47166667,0,57.28066667,0,57.504,26.13866667,61.29033333
MACROH2A1,56.43966667,37.52533333,57.24333333,0,64.28666667,62.98833333,58.06633333
RPL27,0,0,57.229,0,26.04066667,57.684,0
RACK1,0,0,56.22816667,0,52.49583333,55.89333333,45.19683333
AHNAK,53.7975,42.39416667,55.92916667,0,0,67.56766667,67.1075
RALY,57.77533333,0,55.51866667,0,64.27366667,62.03833333,0
SDHA,50.47783333,0,52.11283333,0,52.9295,51.4445,0
CBX3,31.34866667,50.17366667,52.00933333,0,51.10333333,62.99033333,51.508
