NAME,S6.FC.nonIR5,S6.FC.IR5,S6.FC.IR30,S6.FC.IR2,S6.FC.IR8,S6.FC.IR24,S6.FC.nonIR24
SIRT6,11.57066667,11.39666667,12.055,11.34033333,10.02533333,5.517,5.385666667
NCL,10.70866667,7.286,9.52866667,10.605,10.62133333,9.97166667,9.060333333
PRKDC,8.11,7.873,8.665666667,10.463,7.049666667,8.543333333,5.839333333
SPTAN1,8.73,8.703666667,9.178,10.439,11.80433333,9.922,9.86733333
FLI1,9.021333333,1,8.755333333,10.389,13.64566667,10.88733333,1
PTBP1,10.88733333,10.07333333,9.357333333,10.27866667,11.57466667,11.22366667,11.408
RPL3,4.945333333,3.222333333,9.385,10.21566667,9.891,4.406333333,4.725666667
DHX9,10.69633333,9.048,9.979,9.84,10.75666667,10.522,10.29733333
RPS18,8.735666667,6.409333333,9.237333333,9.79733333,11.43966667,8.564333333,8.829333333
DDX21,10.407,8.437,9.465666667,9.78533333,10.04233333,10.19266667,9.83366667
RPL7A,1.622666667,2.559666667,5.624,9.70666667,7.68,0,1.982
LRPPRC,8.481666667,7.567333333,9.447,9.607,10.43833333,5.031666667,7.331666667
NUMA1,9.272,9.446,10.50166667,9.517,11.644,10.447,9.119
RPLP0,6.769666667,7.821333333,8.999333333,9.395,11.02533333,8.848333333,8.598333333
RPL5,3.128,6.037666667,5.641666667,9.206,10.48033333,4.991333333,5.107333333
SPTBN1,8.0775,6.655333333,8.821666667,9.181333333,10.67833333,8.155666667,8.609
XRCC5,6.086,4.881666667,7.352,9.099333333,4.811,7.245,3.039666667
THRAP3,2.222,2.802,7.786333333,9.090333333,9.269,4.289,0
NONO,8.231166667,9.079,9.58866667,9.087333333,10.935,9.99366667,8.729
SF3B3,8.435,8.766,8.65,8.939666667,10.281,9.161,8.469666667
FBL,9.025666667,8.621666667,9.737,8.868,10.007,9.004,9.114
PABPC1,8.183666667,5.950333333,8.142,8.846,10.05166667,7.487,7.825666667
RCC2,6.669,6.172333333,5.409666667,8.823,10.01566667,8.030666667,8.945
RPL10,4.916333333,3.029,5.334333333,8.782666667,6.618666667,2.027,2.394333333
MYH9,6.714083333,7.730833333,8.2065,8.7695,8.376166667,7.014166667,7.857166667
BRIX1,4.665333333,3.351333333,6.424,8.737,3.298,2.529333333,5.752
SNRNP200,4.651,4.142333333,5.038333333,8.618,8.07,4.671,2.690333333
SLC25A5,9.889,5.885,10.50433333,8.612333333,10.919,8.926666667,8.816333333
HNRNPA2B1,7.499333333,7.413333333,8.961333333,8.603333333,5.531,8.835666667,7.690666667
YBX1,4.474666667,7.069333333,7.650333333,8.565,8.378,0,2.323666667
NOP56,2.784,2.870666667,7.368,8.496333333,9.097333333,4.568333333,4.630333333
RPS11,7.934666667,3.504,5.751666667,8.450333333,10.40366667,2.724333333,2.399666667
EIF4A3,8.486666667,5.913666667,8.880666667,8.447666667,10.48366667,8.765666667,8.376
SHMT2,7.403666667,5.840666667,7.267666667,8.372666667,10.76933333,7.002666667,7.554666667
GNL3,2.587666667,4.983666667,4.805333333,8.367,9.318,5.579666667,6.141
TPR,9.9515,9.5495,10.15516667,8.3655,11.20483333,10.7925,10.17383333
NOP2,7.973,5.092333333,8.397666667,8.360333333,9.437333333,8.906666667,8.353666667
RPS8,8.619,7.735833333,8.478833333,8.336166667,9.422833333,6.787833333,4.710833333
RPL10A,2.932333333,2.503,7.543333333,8.328,6.577666667,0,3.01
ILF2,9.177,8.344333333,7.666333333,8.291,10.29366667,8.51,9.55966667
DHX15,5.736333333,2.872,2.566333333,8.186666667,5.061,5.380333333,3.529666667
RPSA,6.96425,6.515833333,7.9485,8.185166667,9.84883333,7.2415,7.330166667
PNN,5.807666667,3.238333333,8.733333333,8.182333333,6.87,4.996,0
PA2G4,4.578666667,4.821333333,8.027,8.163333333,9.88,6.222333333,4.674333333
EFTUD2,7.823333333,5.155333333,4.99,8.136333333,8.427,8.225666667,7.438333333
RPL26,2.367666667,2.906333333,4.302333333,8.115666667,8.687666667,1.949333333,2.336
HNRNPL,6.089333333,3.384,5.465666667,8.032,5.565666667,6.132,4.598
HSPD1,7.528083333,8.251666667,6.954666667,8.024666667,10.00733333,7.795333333,8.616
RPL17,2.223333333,2.633333333,5.030333333,8.015,9.96133333,2.118333333,2.636333333
RBBP7,5.591666667,7.622666667,6.040333333,7.968666667,5.439333333,5.436,3.092
RUVBL2,6.736333333,5.369666667,2.697666667,7.922333333,7.935666667,5.116,4.795
SF3A1,4.998333333,5.164,4.668,7.892666667,8.779666667,8.165333333,8.487666667
MCM7,5.411,2.744666667,0,7.877333333,1.582333333,3.028,2.783333333
LMNB1,8.744,7.396666667,8.394,7.839333333,9.86733333,7.917333333,8.926
BUB3,6.761666667,4.800333333,6.968,7.812333333,8.59,7.249666667,7.608666667
RACK1,7.358083333,7.6575,7.7445,7.8045,10.0605,5.2805,7.6625
ILF3,2.076,5.056,4.144333333,7.725,2.855,6.218,2.815
PRPF8,2.186333333,2.317666667,2.008333333,7.712666667,5.105,0,0
ADAR,5.236,5.682,7.353,7.700333333,8.383666667,6.982666667,5.140666667
RPN1,2.032666667,0,0,7.676333333,5.614666667,5.314,3.132
SFPQ,7.983666667,7.124,7.267333333,7.661333333,9.495333333,8.555333333,7.300333333
MCM5,4.832,4.929666667,5.143,7.647333333,7.830333333,4.442666667,2.57
PES1,2.569666667,2.402333333,4.707666667,7.634666667,5.739666667,2.096666667,1.931666667
RALY,6.110333333,5.476333333,5.524333333,7.633,9.166666667,5.34,6.039666667
RPL7,1.06775,1.4095,0.959166667,7.5845,4.928833333,0.8645,0.938833333
HNRNPM,6.473,6.666666667,4.792666667,7.56,5.426,7.105333333,7.077333333
HSD17B10,2.620333333,2.079333333,0,7.556333333,8.589333333,4.338,4.758666667
SRRM2,2.415666667,2.637333333,0,7.552333333,5.726666667,0,0
NUP155,6.958666667,2.285333333,4.996,7.479,8.842333333,7.145666667,7.866
NUP93,4.545,2.453666667,4.911,7.476333333,8.752666667,7.339333333,6.351
RPL4,2.765083333,1.6235,4.0605,7.435166667,5.3915,0.996166667,1.0795
DDX27,0,1.926666667,0,7.403,4.774,1.955,2.057333333
PHB,9.274833333,7.437666667,8.394666667,7.357,9.61066667,7.262666667,8.011333333
SND1,3.76625,2.0895,4.7415,7.3545,8.251166667,6.3335,1.9445
MATR3,5.283666667,2.838333333,4.688666667,7.353333333,2.931,3.293333333,4.429666667
RPL19,0,0,2.469666667,7.283666667,0,0,0
ELAVL1,5.347333333,3.002,5.162666667,7.275333333,5.638333333,2.834,2.613333333
RTCB,2.310666667,2.198666667,1.967666667,7.265,5.482666667,7.060666667,6.262
RPL13,6.095833333,3.2935,6.030166667,7.2315,8.025166667,5.095833333,5.184166667
RANBP2,2.124666667,4.800666667,6.369333333,7.213,8.369,6.312,4.022666667
TPX2,4.931333333,4.955333333,7.562333333,7.206333333,0,0,0
RPN2,4.417,0,2.089,7.189666667,1.835,4.216666667,2.537333333
NOLC1,9.308583333,6.596333333,7.418333333,7.181666667,6.423333333,6.355,4.955666667
RPS17,0,0,0,7.129333333,4.723666667,0,0
WDR43,4.66,2.485333333,2.485666667,7.122666667,7.88,2.316,2.447
DDX54,2.549,4.593666667,5.097333333,7.109333333,7.069666667,5.774666667,3.868666667
NSUN2,2.004333333,2.062666667,1.836666667,7.108,2.426333333,2.010666667,0
HNRNPD,5.5,2.389333333,2.527666667,7.102333333,5.518333333,7.506,5.574666667
TFRC,5.486,6.091333333,2.810666667,7.101,8.848,4.588333333,3.044333333
TCOF1,5.265666667,2.867333333,5.014333333,7.075666667,2.471333333,0,0
G3BP1,4.928666667,2.633333333,4.432,7.057333333,9.345,4.228666667,4.755666667
DDB1,4.464666667,6.063333333,3.993,7.042666667,6.736,4.739,4.373666667
NUP153,4.409333333,2.626666667,1.778333333,7.009666667,7.912,3.572333333,1.85
CDC5L,1.775,0,6.165666667,7.003,2.498666667,1.655333333,0
PRPF19,7.628583333,7.1855,7.550166667,6.9935,7.747166667,7.628833333,6.657166667
CBX5,6.181,3.389333333,5.540333333,6.975,5.775666667,7.62,5.689666667
DDX17,4.888666667,4.422333333,4.717666667,6.942333333,2.179666667,4.574666667,2.435666667
HNRNPA0,7.424833333,6.699666667,7.947,6.914333333,7.522666667,7.037333333,7.712
TRAP1,2.024333333,4.701,0,6.899,6.777333333,0,2.728333333
DDX24,0,0,0,6.892333333,0,0,0
MTA2,0,0,0,6.815666667,1.931666667,0,0
NOP58,3.765666667,5.311,4.776333333,6.796,4.602333333,2.102666667,4.488333333
DDX1,0,2.503333333,4.598,6.763333333,4.775666667,4.353333333,2.220666667
SNRPA1,2.508,2.191,2.165333333,6.751666667,6.138333333,5.186333333,3.039
VCP,3.304583333,4.1075,3.962166667,6.721166667,7.9775,5.850166667,5.453166667
RPS6,0,0.837166667,0.686166667,6.714833333,4.3085,0,0
UTP18,2.677666667,2.515,4.352333333,6.704333333,5.379,2.548666667,4.379666667
TMPO,1.91,2.312666667,2.775666667,6.649333333,8.112333333,2.006333333,2.458666667
PPAN-P2RY11,2.163333333,2.456333333,2.361333333,6.640666667,4.873,1.515,0
TARDBP,7.031,2.402333333,4.955333333,6.627666667,5.346666667,7.237,4.896666667
SF3A3,2.597,2.366,2.369666667,6.591333333,2.251333333,0,0
PABPC4,4.148333333,3.951666667,2.333,6.563333333,5.641,2.355666667,4.524333333
EMG1,2.652666667,2.707,2.560666667,6.543333333,5.292,2.498333333,4.642
FTSJ3,1.721666667,0,0,6.497333333,4.291,0,0
NUP205,0,1.738666667,2.225,6.479333333,2.868333333,1.753,2.026666667
FARSB,1.881,2.199333333,1.965,6.443666667,6.509,0,0
RPS24,5.367,0,1.954666667,6.424666667,5.669,0,2.954666667
RPS9,0,1.150333333,3.254666667,6.406333333,4.537666667,0,0
MCM3,4.253333333,2.305,0,6.384,4.548,0,2.493666667
SF3A2,5.345,2.989666667,2.970333333,6.383333333,7.848666667,4.733,4.746666667
MYO1B,0,1.974,0,6.343,4.681,0,0
DDX42,2.092666667,3.919,2.148666667,6.311666667,4.931333333,3.983666667,3.878
HCFC1,2.498333333,1.690666667,4.330333333,6.191,5.045333333,6.15,2.552333333
RPS15,0,0.253166667,1.536166667,6.141166667,2.416833333,0,0
RPL23,2.045333333,0,0,6.093333333,5.923,6.943333333,2.312333333
RAN,10.46833333,7.429,7.709666667,6.075666667,8.162,7.285666667,7.16
PABPN1,4.784333333,4.975,4.396333333,6.053,8.316,7.629666667,7.279333333
NOL6,0,0,2.316333333,6.014333333,0,1.931,2.134
DDX3X,0,1.527166667,3.670833333,5.9965,4.3855,0,0.941833333
KPNB1,0,2.547666667,2.292333333,5.929,5.506666667,0,0
OGDH,0,2.643333333,2.395,5.911333333,5.767333333,0,0
LEO1,0,0,0,5.883666667,0,0,0
SMU1,2.569,4.354,1.873333333,5.867666667,8.310333333,4.450333333,2.503333333
EXOSC10,0,0,0,5.834,2.039333333,0,0
ADNP,2.528,0,2.201,5.821,2.541,0,0
RPL13A,0,0,0,5.816166667,1.257833333,0,0
PGAM5,2.550333333,2.635666667,0,5.814,2.732666667,0,0
RPS3,2.385083333,1.115833333,0,5.800166667,4.8655,0,1.659166667
LMNB2,4.901,4.372666667,2.14,5.789333333,5.783666667,2.189333333,3.875
MCM6,2.523333333,2.148,2.309,5.788,4.387,0,2.055666667
CDKN2A,2.363666667,2.59,2.206666667,5.749,5.008666667,1.907,4.19
DAZAP1,0,2.036333333,2.406333333,5.709,2.117,2.157666667,2.262
PRPF6,0,2.614333333,2.072666667,5.693666667,1.938666667,0,0
XRN2,4.855,2.486333333,2.438,5.673,2.414333333,4.535,1.913333333
MYO1C,0,2.463333333,2.241333333,5.666,4.818333333,0,0
SNRNP40,2.223,0,4.305666667,5.656666667,5.555333333,2.998333333,2.918
SF3B1,0,0.790333333,2.319666667,5.549666667,3.028,0.309333333,0.387666667
RPA1,4.294333333,2.576333333,2.370666667,5.54,4.674,2.315333333,4.224666667
HNRNPH1,6.458,4.946333333,4.454666667,5.528,2.433,5.391,3.623
SRSF11,2.235666667,2.064666667,1.989333333,5.495,2.286,4.310333333,1.849
HSP90AB1,5.675916667,4.962166667,2.3085,5.435833333,3.703833333,4.889166667,4.200833333
EMD,2.634666667,2.351666667,0,5.426666667,2.572,2.264333333,2.711
PSMB6,2.104666667,2.253333333,2.484,5.419666667,4.527666667,2.011666667,0
NPM3,6.2855,4.440666667,4.075666667,5.403,7.342,6.819,6.583
RANGAP1,1.596,2.057333333,3.476,5.366666667,6.966333333,0,0
PCBP2,6.244666667,2.434333333,6.273,5.338333333,7.754666667,6.023333333,6.161333333
MSH2,0,0,0,5.319666667,4.198333333,0,0
STRAP,1.863666667,2.32,0,5.311333333,3.166,0,0
WBSCR22,2.463333333,0,0,5.252333333,1.815,0,0
PNPT1,2.045,1.912333333,1.807666667,5.250333333,4.692666667,0,1.710333333
DLST,3.099333333,6.517,2.978,5.223333333,6.14,6.524666667,0
RPS14,6.93975,3.355833333,6.746166667,5.1945,7.849833333,6.212166667,6.464166667
HNRNPU,6.319333333,5.652166667,6.697166667,5.1935,6.944833333,6.041166667,5.8775
CCAR2,2.326666667,2.64,0,5.188333333,0,0,0
DDX47,0,0,0,5.159666667,0,0,2.68
NPM1,6.1525,6.175666667,6.569,5.153,6.585666667,6.796666667,6.807333333
FUBP3,2.027333333,0,0,5.134666667,6.887333333,1.898666667,4.127666667
NUP107,2.382666667,0,0,5.079666667,4.458,3.477666667,0
DDX46,1.834,2.057,0,5.060666667,0,0,0
SSRP1,0,0,1.393666667,5.052333333,1.762,0,0
WDR18,7.221,4.626666667,7.263333333,5.044333333,7.730333333,2.483,5.578666667
HSP90AA1,2.040333333,1.995333333,0,5.034,0,1.900666667,0
DHX30,0,0,0,5.025,5.535333333,0,0
RBM14,5.075666667,0,2.454,5.023666667,4.173666667,5.172333333,2.435
HEATR1,0,0,0,5.003666667,2.718666667,0,0
NXF1,0,0,0,4.985,1.795666667,0,0
NUP133,2.653666667,1.497333333,0,4.951333333,1.843333333,2.624333333,2.735
HNRNPA1,3.539416667,4.552166667,5.977833333,4.9145,5.4935,5.851833333,5.100166667
HSPA8,6.002083333,5.374666667,4.738,4.902333333,6.465,5.095333333,4.505
PPP1R10,0,1.956666667,0,4.888666667,0,0,0
PPP1CA,4.127,0,0,4.888333333,3.807666667,0.461666667,1.684333333
NLE1,1.888333333,0,0,4.876,2.383666667,0,0
CTR9,0,0,0,4.854333333,0,0,0
RPRD2,0,0,0,4.812666667,4.205333333,0,0
GTF2I,2.127,0,2.290333333,4.788,1.993,0,0
WDR74,4.552,2.404333333,2.623666667,4.763666667,6.780666667,4.319333333,6.250666667
CCT4,0,0,2.151333333,4.760333333,2.773666667,0,2.180666667
PRPF4,0,0,0,4.748333333,0,0,0
NOC2L,0,0,0,4.738333333,0,0,0
MKI67,0,0,0,4.717333333,2.095333333,0,0
ZMPSTE24,0,2.203333333,1.753,4.695,2.327,0,0
NOL9,0,0,0,4.681,0,0,0
DDX18,0,0,0,4.675333333,1.895333333,0,2.757333333
RNPS1,0,2.050666667,0,4.66,2.319333333,0,0
MYBBP1A,0,0,0,4.654666667,0,0,0
MTREX,0,0,0,4.653666667,2.107666667,0,1.895333333
DNTTIP2,0,1.976,0,4.641666667,0,0,0
MYOF,1.948666667,2.252666667,2.313,4.625666667,2.563333333,0,0
PRPF31,0,0,0,4.58,0,0,0
POLR2H,1.915,0,3.699,4.523333333,1.780666667,0,1.715666667
DDX50,0,0,0,4.510666667,0,0,0
WDR36,1.978,2.033,0,4.498666667,2.058,1.719,0
GATAD2B,1.592666667,0,2.071,4.461666667,4.328,2.085666667,0
ASPH,0,0,0,4.456666667,2.389,0,0
SMARCA4,1.778333333,1.666,0,4.452666667,1.707,0,0
SF1,0,0,0,4.442333333,2.295,0,0
MTA1,0,0,0,4.428333333,1.822333333,0,0
U2SURP,0,0,0,4.382,1.898666667,0,1.880333333
HNRNPA3,4.909666667,0,2.052,4.381666667,0,4.005333333,3.642666667
CPSF7,4.862333333,2.647333333,3.771,4.358333333,2.027666667,0,0
WDR82,0,0,0,4.302,2.219,1.81,0
GATAD2A,2.197333333,2.302333333,1.809666667,4.298333333,4.717666667,1.892666667,0
CSTF3,0,0,0,4.255333333,3.755333333,0,0
OGT,1.839333333,2.446666667,0,4.213666667,4.210333333,1.977666667,0
TOR1AIP1,3.634666667,0,0,4.155333333,2.132333333,0,1.838333333
CDK1,1.523,1.632,0,4.133,4.806333333,0,0
HNRNPC,6.88975,4.129166667,5.524833333,4.1155,6.197166667,5.291166667,5.2935
CTNNB1,0,1.757666667,1.448333333,4.095666667,3.514,0,0
RHOG,1.854666667,2.469333333,2.120666667,4.065666667,2.488666667,0,1.77
RPL35,0,0,0,4.06,2.369,0,2.181666667
PSMA2,0,0,2.441333333,4.046666667,0,0,0
SART3,0,0,0,4.020666667,0,0,0
CPSF1,0,0,3.741333333,4.006666667,2.286666667,1.889666667,0
RPL11,3.868333333,4.7135,5.150166667,3.9915,6.3115,3.4245,4.080833333
NUP214,0,2.328,0,3.944,2.382666667,0,0
HNRNPUL1,0,1.512333333,0,3.916666667,0,1.657333333,1.932666667
SNRPD1,3.578,2.588333333,4.908,3.845333333,6.358,5.745,5.642333333
SEH1L,0,0,0,3.789,1.887,0,0
NOP53,1.726666667,0,0,3.760666667,0,0,0
POLR1A,0,0,0,3.757,0,0,0
MRE11A,2.196666667,0,0,3.747666667,0,0,0
SEPT2,0,0,2.094666667,3.726,4.962333333,0,0
TKT,0,4.505,0,3.697,5.551,1.920333333,2.599
KRT18,4.87925,3.934833333,4.012166667,3.676833333,6.819833333,4.1815,4.8355
HSPA4,0,0,0,3.659333333,0,1.992666667,0
SMARCA5,2.057666667,0,0,3.604,0,0,0
CSDE1,0,0,0,3.603666667,0,0,0
FH,0,0,0,3.602333333,6.527333333,0,3.178
LDHA,4.516666667,0,5.139333333,3.516333333,5.885333333,4.093333333,2.885666667
ETF1,0,0,0,3.48,1.745666667,0,0
GLYR1,0,0,1.821666667,3.470666667,0,0,0
LRWD1,0,0,0,3.408333333,3.6,4.927666667,2.477666667
SUPT16H,2.472,2.559,0,3.400333333,2.481333333,1.938,1.677333333
NUP54,0,0,0,3.390333333,0,0,0
PSMA6,1.600666667,0,0,3.37,0,0,0
PSMD1,0,0,0,3.345,0,0,0
HSPA5,0,0,0,3.2855,6.283833333,2.6765,3.0225
KDM1A,0,0,0,3.284,0,0,0
NBN,0,0,0,3.272,1.908333333,0,0
MISP,2.688333333,2.843333333,2.763666667,3.261666667,5.979666667,2.316,0
ORC2,1.968333333,1.983,2.103666667,3.189,2.271666667,0,1.785333333
KHDRBS1,5.925333333,2.997666667,2.700333333,3.099,5.254,3.222333333,4.434666667
SNRPF,2.335,0,0,3.034333333,3.516333333,0,0
KIF20A,0,0,0,3.009,0,3.987333333,0
HNRNPAB,2.301666667,2.780333333,0,3.006666667,0,4.328,3.181333333
YWHAG,0,0,0,2.994,2.455666667,0,0
ZC3HAV1,0,0,0,2.938333333,4.476666667,0,0
