node1	node2	node1_string_id	node2_string_id	weight	weight2
APEX1	XRCC5	9606.ENSP00000216714	9606.ENSP00000375978	0.292	0.292
CHRAC1	XRCC5	9606.ENSP00000220913	9606.ENSP00000375978	0.292	0.292
DDB1	XRCC5	9606.ENSP00000301764	9606.ENSP00000375978	0.292	0.292
DDX17	XRCC5	9606.ENSP00000380033	9606.ENSP00000375978	0.292	0.292
DHX9	XRCC5	9606.ENSP00000356520	9606.ENSP00000375978	0.457	0.457
FASN	XRCC5	9606.ENSP00000304592	9606.ENSP00000375978	0.292	0.292
HIST1H4F	XRCC5	9606.ENSP00000244537	9606.ENSP00000375978	0.457	0.457
HNRNPA1	XRCC5	9606.ENSP00000341826	9606.ENSP00000375978	0.211	0.211
HNRNPC	XRCC5	9606.ENSP00000451291	9606.ENSP00000375978	0.292	0.292
HNRNPD	XRCC5	9606.ENSP00000313199	9606.ENSP00000375978	0.292	0.292
HNRNPL	XRCC5	9606.ENSP00000221419	9606.ENSP00000375978	0.292	0.292
ILF2	XRCC5	9606.ENSP00000355011	9606.ENSP00000375978	0.292	0.292
JUP	XRCC5	9606.ENSP00000377508	9606.ENSP00000375978	0.192	0.192
MACROH2A1	XRCC5	9606.ENSP00000423563	9606.ENSP00000375978	0.292	0.292
PARP1	XRCC5	9606.ENSP00000355759	9606.ENSP00000375978	0.459	0.459
PCBP1	XRCC5	9606.ENSP00000305556	9606.ENSP00000375978	0.164	0.163
PCNA	XRCC5	9606.ENSP00000368458	9606.ENSP00000375978	0.605	0.605
PHB	XRCC5	9606.ENSP00000479488	9606.ENSP00000375978	0.292	0.292
PRKDC	XRCC5	9606.ENSP00000313420	9606.ENSP00000375978	0.96	0.96
PRPF8	XRCC5	9606.ENSP00000460348	9606.ENSP00000375978	0.17	0.169
RBM14	XRCC5	9606.ENSP00000311747	9606.ENSP00000375978	0.292	0.292
RBM39	XRCC5	9606.ENSP00000253363	9606.ENSP00000375978	0.317	0.317
RUVBL2	XRCC5	9606.ENSP00000473172	9606.ENSP00000375978	0.183	0.183
SSBP1	XRCC5	9606.ENSP00000419665	9606.ENSP00000375978	0.301	0.301
TPT1	XRCC5	9606.ENSP00000477781	9606.ENSP00000375978	0.292	0.292
TRIM28	XRCC5	9606.ENSP00000253024	9606.ENSP00000375978	0.292	0.292
XRCC5	XRCC6	9606.ENSP00000375978	9606.ENSP00000352257	0.967	0.967
XRCC5	YBX1	9606.ENSP00000375978	9606.ENSP00000361626	0.292	0.292
ACTN4	IQGAP1	9606.ENSP00000252699	9606.ENSP00000268182	0.4	0.4
EFTUD2	RPS23	9606.ENSP00000392094	9606.ENSP00000296674	0.4	0.4
EFTUD2	RACK1	9606.ENSP00000392094	9606.ENSP00000426909	0.4	0.4
EFTUD2	RPL9	9606.ENSP00000392094	9606.ENSP00000494697	0.4	0.4
EFTUD2	RPS10	9606.ENSP00000392094	9606.ENSP00000481646	0.4	0.4
EFTUD2	RPS20	9606.ENSP00000392094	9606.ENSP00000429374	0.4	0.4
EFTUD2	RPLP0	9606.ENSP00000392094	9606.ENSP00000449328	0.4	0.4
HSP90AB1	MCM5	9606.ENSP00000360609	9606.ENSP00000216122	0.4	0.4
RBM39	RPS15A	9606.ENSP00000253363	9606.ENSP00000318646	0.4	0.4
GNL3	RPL7A	9606.ENSP00000395772	9606.ENSP00000361076	0.401	0.4
HSPA1B	HSPA5	9606.ENSP00000364801	9606.ENSP00000324173	0.401	0.4
MACROH2A1	RUVBL1	9606.ENSP00000423563	9606.ENSP00000318297	0.401	0.401
PES1	RPL26	9606.ENSP00000346725	9606.ENSP00000463784	0.401	0.4
RBM39	RPS3A	9606.ENSP00000253363	9606.ENSP00000346050	0.401	0.4
HNRNPD	PCBP1	9606.ENSP00000313199	9606.ENSP00000305556	0.402	0.402
RBM39	RPS18	9606.ENSP00000253363	9606.ENSP00000393241	0.402	0.402
DDX18	RPL22	9606.ENSP00000263239	9606.ENSP00000346088	0.403	0.402
BRIX1	RPL5	9606.ENSP00000338862	9606.ENSP00000359345	0.404	0.404
BUB3	CCT7	9606.ENSP00000357858	9606.ENSP00000258091	0.404	0.404
DDX54	NPM1	9606.ENSP00000323858	9606.ENSP00000296930	0.404	0.404
GTPBP4	NPM1	9606.ENSP00000354040	9606.ENSP00000296930	0.404	0.404
HSP90AB1	HSPD1	9606.ENSP00000360609	9606.ENSP00000340019	0.404	0.404
RBM39	RPS20	9606.ENSP00000253363	9606.ENSP00000429374	0.404	0.404
DDX3X	RPL26	9606.ENSP00000494040	9606.ENSP00000463784	0.405	0.405
AIMP2	BCAS2	9606.ENSP00000223029	9606.ENSP00000358554	0.406	0.406
NAT10	RPL5	9606.ENSP00000257829	9606.ENSP00000359345	0.406	0.406
RBM39	RPL22	9606.ENSP00000253363	9606.ENSP00000346088	0.406	0.406
EFTUD2	RPL22	9606.ENSP00000392094	9606.ENSP00000346088	0.408	0.408
HNRNPC	RBM39	9606.ENSP00000451291	9606.ENSP00000253363	0.408	0.408
LMNA	SF3B3	9606.ENSP00000357283	9606.ENSP00000305790	0.408	0.408
PRPF8	RBM39	9606.ENSP00000460348	9606.ENSP00000253363	0.408	0.408
CCT3	PSMA2	9606.ENSP00000295688	9606.ENSP00000223321	0.409	0.408
CCT7	PSMA2	9606.ENSP00000258091	9606.ENSP00000223321	0.409	0.408
CDC5L	SPTBN1	9606.ENSP00000360532	9606.ENSP00000349259	0.409	0.408
DDX17	SFPQ	9606.ENSP00000380033	9606.ENSP00000349748	0.409	0.408
DHX9	ELAVL1	9606.ENSP00000356520	9606.ENSP00000385269	0.409	0.408
G3BP2	RPS8	9606.ENSP00000352738	9606.ENSP00000379888	0.409	0.408
HSP90AB1	PSMA2	9606.ENSP00000360609	9606.ENSP00000223321	0.409	0.408
HSPA8	PSMA2	9606.ENSP00000437125	9606.ENSP00000223321	0.409	0.408
PABPC1	PCBP1	9606.ENSP00000313007	9606.ENSP00000305556	0.409	0.408
RBM39	SF3B2	9606.ENSP00000253363	9606.ENSP00000318861	0.409	0.408
GTPBP4	NLE1	9606.ENSP00000354040	9606.ENSP00000413572	0.41	0.41
DDX18	RPL26	9606.ENSP00000263239	9606.ENSP00000463784	0.411	0.41
HIST1H4F	RPS3A	9606.ENSP00000244537	9606.ENSP00000346050	0.411	0.41
PABPC1	RALY	9606.ENSP00000313007	9606.ENSP00000246194	0.411	0.41
RBM39	RPS4X	9606.ENSP00000253363	9606.ENSP00000362744	0.411	0.41
CCT7	STRAP	9606.ENSP00000258091	9606.ENSP00000392270	0.412	0.412
DDX21	NOP58	9606.ENSP00000346120	9606.ENSP00000264279	0.412	0.412
NUP107	RCC1	9606.ENSP00000229179	9606.ENSP00000497402	0.412	0.412
EIF3L	NCL	9606.ENSP00000499067	9606.ENSP00000318195	0.413	0.412
HIST1H4F	HSPA6	9606.ENSP00000244537	9606.ENSP00000310219	0.413	0.412
PABPC1	UBAP2L	9606.ENSP00000313007	9606.ENSP00000389445	0.413	0.412
RBM39	RPS8	9606.ENSP00000253363	9606.ENSP00000379888	0.413	0.412
NOL6	RPL4	9606.ENSP00000297990	9606.ENSP00000311430	0.414	0.414
BUB3	CCT5	9606.ENSP00000357858	9606.ENSP00000280326	0.415	0.414
EBNA1BP2	NOP58	9606.ENSP00000407323	9606.ENSP00000264279	0.415	0.415
HNRNPA1	PABPC1	9606.ENSP00000341826	9606.ENSP00000313007	0.415	0.414
NPM1	RPLP0	9606.ENSP00000296930	9606.ENSP00000449328	0.415	0.414
ILF2	IQGAP1	9606.ENSP00000355011	9606.ENSP00000268182	0.416	0.416
RPS8	YBX1	9606.ENSP00000379888	9606.ENSP00000361626	0.416	0.416
EPRS	RPS16	9606.ENSP00000355890	9606.ENSP00000367806	0.417	0.417
FBL	NSUN2	9606.ENSP00000221801	9606.ENSP00000264670	0.417	0.417
HNRNPA2B1	HNRNPA3	9606.ENSP00000346694	9606.ENSP00000376309	0.419	0.418
NCL	RPL3	9606.ENSP00000318195	9606.ENSP00000346001	0.419	0.418
DDX21	DHX9	9606.ENSP00000346120	9606.ENSP00000356520	0.42	0.42
DDX39B	RBM39	9606.ENSP00000416269	9606.ENSP00000253363	0.42	0.42
DDX3X	RPS3	9606.ENSP00000494040	9606.ENSP00000278572	0.42	0.42
EFTUD2	RPS17	9606.ENSP00000392094	9606.ENSP00000498019	0.42	0.42
ELAVL1	PCBP2	9606.ENSP00000385269	9606.ENSP00000352438	0.42	0.42
G3BP1	RPS11	9606.ENSP00000377681	9606.ENSP00000270625	0.42	0.42
HNRNPK	RBM14	9606.ENSP00000365458	9606.ENSP00000311747	0.42	0.42
ILF3	NPM1	9606.ENSP00000404121	9606.ENSP00000296930	0.42	0.42
MCM5	SF3A1	9606.ENSP00000216122	9606.ENSP00000215793	0.42	0.42
NUP153	RCC1	9606.ENSP00000444029	9606.ENSP00000497402	0.42	0.42
