node1	node2	node1_string_id	node2_string_id	weight	weight2
DECR1	MRE11A	9606.ENSP00000220764	9606.ENSP00000325863	0.158	0.157
DHX9	MRE11A	9606.ENSP00000356520	9606.ENSP00000325863	0.219	0.219
HNRNPM	MRE11A	9606.ENSP00000325376	9606.ENSP00000325863	0.216	0.216
MRE11A	TRIM28	9606.ENSP00000325863	9606.ENSP00000253024	0.292	0.292
MRE11A	TPR	9606.ENSP00000325863	9606.ENSP00000356448	0.202	0.202
MRE11A	VCP	9606.ENSP00000325863	9606.ENSP00000351777	0.292	0.292
MRE11A	PARP1	9606.ENSP00000325863	9606.ENSP00000355759	0.292	0.292
MACROH2A1	RUVBL1	9606.ENSP00000423563	9606.ENSP00000318297	0.401	0.401
ATAD3A	VCP	9606.ENSP00000368030	9606.ENSP00000351777	0.403	0.402
EBNA1BP2	H1-4	9606.ENSP00000407323	9606.ENSP00000307705	0.403	0.402
RSL1D1	YBX1	9606.ENSP00000460871	9606.ENSP00000361626	0.407	0.407
DDX17	SFPQ	9606.ENSP00000380033	9606.ENSP00000349748	0.409	0.408
RPF2	RPL13	9606.ENSP00000402338	9606.ENSP00000307889	0.409	0.409
RPS8	YBX1	9606.ENSP00000379888	9606.ENSP00000361626	0.416	0.416
PABPC1	RUVBL1	9606.ENSP00000313007	9606.ENSP00000318297	0.421	0.42
HSP90AA1	VCP	9606.ENSP00000335153	9606.ENSP00000351777	0.423	0.422
DHX9	HNRNPA2B1	9606.ENSP00000356520	9606.ENSP00000346694	0.435	0.435
PABPC1	YBX1	9606.ENSP00000313007	9606.ENSP00000361626	0.436	0.436
PABPC1	RPL7	9606.ENSP00000313007	9606.ENSP00000339795	0.443	0.443
FBL	RPL4	9606.ENSP00000221801	9606.ENSP00000311430	0.444	0.444
TIMM50	TRIM28	9606.ENSP00000445806	9606.ENSP00000253024	0.445	0.445
ADAR	DHX9	9606.ENSP00000357459	9606.ENSP00000356520	0.446	0.446
RPF2	RPL4	9606.ENSP00000402338	9606.ENSP00000311430	0.45	0.45
ACTB	HNRNPU	9606.ENSP00000494750	9606.ENSP00000491215	0.457	0.457
AIFM1	HSPA1B	9606.ENSP00000287295	9606.ENSP00000364801	0.457	0.457
C1QBP	FBL	9606.ENSP00000225698	9606.ENSP00000221801	0.457	0.457
CBX3	TRIM28	9606.ENSP00000336687	9606.ENSP00000253024	0.457	0.457
CBX3	MACROH2A1	9606.ENSP00000336687	9606.ENSP00000423563	0.457	0.457
DDX5	TRIM28	9606.ENSP00000225792	9606.ENSP00000253024	0.457	0.457
DDX5	YBX1	9606.ENSP00000225792	9606.ENSP00000361626	0.457	0.457
DHX9	HNRNPC	9606.ENSP00000356520	9606.ENSP00000451291	0.457	0.457
DHX9	YBX1	9606.ENSP00000356520	9606.ENSP00000361626	0.457	0.457
DHX9	HNRNPU	9606.ENSP00000356520	9606.ENSP00000491215	0.457	0.457
HNRNPA2B1	YBX1	9606.ENSP00000346694	9606.ENSP00000361626	0.457	0.457
HNRNPC	YBX1	9606.ENSP00000451291	9606.ENSP00000361626	0.457	0.457
HNRNPK	HNRNPU	9606.ENSP00000365458	9606.ENSP00000491215	0.457	0.457
HNRNPU	NPM1	9606.ENSP00000491215	9606.ENSP00000296930	0.457	0.457
HNRNPU	YBX1	9606.ENSP00000491215	9606.ENSP00000361626	0.457	0.457
HSPA1B	YBX1	9606.ENSP00000364801	9606.ENSP00000361626	0.457	0.457
MCM5	YBX1	9606.ENSP00000216122	9606.ENSP00000361626	0.457	0.457
NCL	PA2G4	9606.ENSP00000318195	9606.ENSP00000302886	0.457	0.457
NCL	NPM3	9606.ENSP00000318195	9606.ENSP00000359128	0.457	0.457
NPM1	TRIM28	9606.ENSP00000296930	9606.ENSP00000253024	0.457	0.457
NPM1	PA2G4	9606.ENSP00000296930	9606.ENSP00000302886	0.457	0.457
NPM1	YBX1	9606.ENSP00000296930	9606.ENSP00000361626	0.457	0.457
NPM1	RPL5	9606.ENSP00000296930	9606.ENSP00000359345	0.457	0.457
PARP1	PRKDC	9606.ENSP00000355759	9606.ENSP00000313420	0.457	0.457
POLR2E	RUVBL2	9606.ENSP00000478303	9606.ENSP00000473172	0.457	0.457
PRKDC	TRIM28	9606.ENSP00000313420	9606.ENSP00000253024	0.457	0.457
PRPF19	YBX1	9606.ENSP00000227524	9606.ENSP00000361626	0.457	0.457
RUVBL1	TRIM28	9606.ENSP00000318297	9606.ENSP00000253024	0.457	0.457
RUVBL2	TRIM28	9606.ENSP00000473172	9606.ENSP00000253024	0.457	0.457
MACROH2A1	PARP1	9606.ENSP00000423563	9606.ENSP00000355759	0.458	0.458
EIF6	FBL	9606.ENSP00000363559	9606.ENSP00000221801	0.465	0.465
NOP2	RPL13	9606.ENSP00000371858	9606.ENSP00000307889	0.467	0.467
PA2G4	RSL1D1	9606.ENSP00000302886	9606.ENSP00000460871	0.47	0.47
EBNA1BP2	FBL	9606.ENSP00000407323	9606.ENSP00000221801	0.476	0.476
RPL5	RSL1D1	9606.ENSP00000359345	9606.ENSP00000460871	0.485	0.485
LMNA	NUP155	9606.ENSP00000357283	9606.ENSP00000231498	0.486	0.485
DDX17	HNRNPK	9606.ENSP00000380033	9606.ENSP00000365458	0.488	0.487
DDX5	HNRNPK	9606.ENSP00000225792	9606.ENSP00000365458	0.488	0.487
EBNA1BP2	RPL7	9606.ENSP00000407323	9606.ENSP00000339795	0.49	0.49
PA2G4	RPF2	9606.ENSP00000302886	9606.ENSP00000402338	0.501	0.501
PRKDC	RUVBL2	9606.ENSP00000313420	9606.ENSP00000473172	0.506	0.506
FBL	NOP2	9606.ENSP00000221801	9606.ENSP00000371858	0.507	0.507
EIF6	RPF2	9606.ENSP00000363559	9606.ENSP00000402338	0.508	0.508
EIF4A3	PABPC1	9606.ENSP00000497641	9606.ENSP00000313007	0.509	0.509
EBNA1BP2	NCL	9606.ENSP00000407323	9606.ENSP00000318195	0.518	0.518
NCL	NPM1	9606.ENSP00000318195	9606.ENSP00000296930	0.523	0.523
HNRNPAB	HNRNPU	9606.ENSP00000425031	9606.ENSP00000491215	0.524	0.524
C1QBP	YBX1	9606.ENSP00000225698	9606.ENSP00000361626	0.526	0.526
NPM1	NPM3	9606.ENSP00000296930	9606.ENSP00000359128	0.535	0.535
MACROH2A1	RUVBL2	9606.ENSP00000423563	9606.ENSP00000473172	0.539	0.539
FBL	NOLC1	9606.ENSP00000221801	9606.ENSP00000385410	0.544	0.544
