node1	node2	node1_string_id	node2_string_id	weight	weight2
APEX1	SIRT6	9606.ENSP00000216714	9606.ENSP00000337332	0.292	0.292
G3BP1	SIRT6	9606.ENSP00000377681	9606.ENSP00000337332	0.174	0.173
HIST1H2BO	SIRT6	9606.ENSP00000477527	9606.ENSP00000337332	0.23	0.229
MACROH2A1	SIRT6	9606.ENSP00000423563	9606.ENSP00000337332	0.218	0.218
PARP1	SIRT6	9606.ENSP00000355759	9606.ENSP00000337332	0.292	0.292
PRKDC	SIRT6	9606.ENSP00000313420	9606.ENSP00000337332	0.292	0.292
RBM14	SIRT6	9606.ENSP00000311747	9606.ENSP00000337332	0.162	0.161
RPL23	SIRT6	9606.ENSP00000420311	9606.ENSP00000337332	0.292	0.292
RPL3	SIRT6	9606.ENSP00000346001	9606.ENSP00000337332	0.292	0.292
RPL6	SIRT6	9606.ENSP00000403172	9606.ENSP00000337332	0.292	0.292
RPS15A	SIRT6	9606.ENSP00000318646	9606.ENSP00000337332	0.292	0.292
SIRT6	XRCC5	9606.ENSP00000337332	9606.ENSP00000375978	0.292	0.292
SIRT6	USP10	9606.ENSP00000337332	9606.ENSP00000457411	0.292	0.292
SIRT6	XRCC6	9606.ENSP00000337332	9606.ENSP00000352257	0.292	0.292
APEX1	XRCC5	9606.ENSP00000216714	9606.ENSP00000375978	0.292	0.292
C1QBP	XRCC5	9606.ENSP00000225698	9606.ENSP00000375978	0.161	0.161
CHRAC1	XRCC5	9606.ENSP00000220913	9606.ENSP00000375978	0.292	0.292
DDB1	XRCC5	9606.ENSP00000301764	9606.ENSP00000375978	0.292	0.292
DDX17	XRCC5	9606.ENSP00000380033	9606.ENSP00000375978	0.292	0.292
DHX9	XRCC5	9606.ENSP00000356520	9606.ENSP00000375978	0.457	0.457
EWSR1	XRCC5	9606.ENSP00000400142	9606.ENSP00000375978	0.292	0.292
HIST2H2BE	XRCC5	9606.ENSP00000358151	9606.ENSP00000375978	0.187	0.187
HIST1H4F	XRCC5	9606.ENSP00000244537	9606.ENSP00000375978	0.457	0.457
HNRNPA1	XRCC5	9606.ENSP00000341826	9606.ENSP00000375978	0.211	0.211
HNRNPC	XRCC5	9606.ENSP00000451291	9606.ENSP00000375978	0.292	0.292
HNRNPD	XRCC5	9606.ENSP00000313199	9606.ENSP00000375978	0.292	0.292
HNRNPL	XRCC5	9606.ENSP00000221419	9606.ENSP00000375978	0.292	0.292
ILF2	XRCC5	9606.ENSP00000355011	9606.ENSP00000375978	0.292	0.292
LRWD1	XRCC5	9606.ENSP00000292616	9606.ENSP00000375978	0.362	0.362
MACROH2A1	XRCC5	9606.ENSP00000423563	9606.ENSP00000375978	0.292	0.292
NBN	XRCC5	9606.ENSP00000265433	9606.ENSP00000375978	0.184	0.183
ORC2	XRCC5	9606.ENSP00000234296	9606.ENSP00000375978	0.429	0.428
PAF1	XRCC5	9606.ENSP00000221265	9606.ENSP00000375978	0.213	0.213
PARP1	XRCC5	9606.ENSP00000355759	9606.ENSP00000375978	0.459	0.459
PCBP1	XRCC5	9606.ENSP00000305556	9606.ENSP00000375978	0.164	0.163
PHB	XRCC5	9606.ENSP00000479488	9606.ENSP00000375978	0.292	0.292
POLR2E	XRCC5	9606.ENSP00000478303	9606.ENSP00000375978	0.292	0.292
PRKDC	XRCC5	9606.ENSP00000313420	9606.ENSP00000375978	0.96	0.96
PRPF8	XRCC5	9606.ENSP00000460348	9606.ENSP00000375978	0.17	0.169
RBM14	XRCC5	9606.ENSP00000311747	9606.ENSP00000375978	0.292	0.292
RBM39	XRCC5	9606.ENSP00000253363	9606.ENSP00000375978	0.317	0.317
RUVBL2	XRCC5	9606.ENSP00000473172	9606.ENSP00000375978	0.183	0.183
SSBP1	XRCC5	9606.ENSP00000419665	9606.ENSP00000375978	0.301	0.301
SSRP1	XRCC5	9606.ENSP00000278412	9606.ENSP00000375978	0.422	0.422
SUPT16H	XRCC5	9606.ENSP00000216297	9606.ENSP00000375978	0.292	0.292
TMPO	XRCC5	9606.ENSP00000266732	9606.ENSP00000375978	0.457	0.457
TPT1	XRCC5	9606.ENSP00000477781	9606.ENSP00000375978	0.292	0.292
EFTUD2	RPS9	9606.ENSP00000392094	9606.ENSP00000375632	0.4	0.4
EFTUD2	RACK1	9606.ENSP00000392094	9606.ENSP00000426909	0.4	0.4
EFTUD2	RPL9	9606.ENSP00000392094	9606.ENSP00000494697	0.4	0.4
EFTUD2	RPS10	9606.ENSP00000392094	9606.ENSP00000481646	0.4	0.4
EFTUD2	RPS20	9606.ENSP00000392094	9606.ENSP00000429374	0.4	0.4
EFTUD2	RPS27	9606.ENSP00000392094	9606.ENSP00000499044	0.4	0.4
EFTUD2	RPLP0	9606.ENSP00000392094	9606.ENSP00000449328	0.4	0.4
HSP90AB1	MCM5	9606.ENSP00000360609	9606.ENSP00000216122	0.4	0.4
MRPL19	RPL3	9606.ENSP00000377486	9606.ENSP00000346001	0.4	0.4
NSA2	PABPC4	9606.ENSP00000483484	9606.ENSP00000361949	0.4	0.4
NXF1	RAE1	9606.ENSP00000436679	9606.ENSP00000379181	0.4	0.4
RBM39	RPS15A	9606.ENSP00000253363	9606.ENSP00000318646	0.4	0.4
FTSJ3	RPL26	9606.ENSP00000396673	9606.ENSP00000463784	0.401	0.4
GCN1L1	RPS27	9606.ENSP00000300648	9606.ENSP00000499044	0.401	0.4
GCN1L1	RPL26	9606.ENSP00000300648	9606.ENSP00000463784	0.401	0.4
GCN1L1	RPS14	9606.ENSP00000300648	9606.ENSP00000385958	0.401	0.4
GNL3	RPL7A	9606.ENSP00000395772	9606.ENSP00000361076	0.401	0.4
GNL3L	RPL7A	9606.ENSP00000354091	9606.ENSP00000361076	0.401	0.4
HSPA1B	HSPA5	9606.ENSP00000364801	9606.ENSP00000324173	0.401	0.4
MACROH2A1	RUVBL1	9606.ENSP00000423563	9606.ENSP00000318297	0.401	0.401
NIFK	WDR36	9606.ENSP00000285814	9606.ENSP00000423067	0.401	0.4
PES1	RPL26	9606.ENSP00000346725	9606.ENSP00000463784	0.401	0.4
RBM39	RPS3A	9606.ENSP00000253363	9606.ENSP00000346050	0.401	0.4
RBM39	RPL35	9606.ENSP00000253363	9606.ENSP00000259469	0.401	0.4
RPL10A	ZC3HAV1	9606.ENSP00000363018	9606.ENSP00000242351	0.401	0.4
RPL4	WDR36	9606.ENSP00000311430	9606.ENSP00000423067	0.401	0.401
SF3B2	U2SURP	9606.ENSP00000318861	9606.ENSP00000418563	0.401	0.4
GCN1L1	RPL3	9606.ENSP00000300648	9606.ENSP00000346001	0.402	0.402
GCN1L1	RPL10	9606.ENSP00000300648	9606.ENSP00000413436	0.402	0.402
HNRNPD	PCBP1	9606.ENSP00000313199	9606.ENSP00000305556	0.402	0.402
MRPL19	RPL4	9606.ENSP00000377486	9606.ENSP00000311430	0.402	0.402
MRPL19	RPL10A	9606.ENSP00000377486	9606.ENSP00000363018	0.402	0.402
MRPL19	RPS16	9606.ENSP00000377486	9606.ENSP00000367806	0.402	0.402
MRPL19	RPL26	9606.ENSP00000377486	9606.ENSP00000463784	0.402	0.402
MRPL46	RPL4	9606.ENSP00000312311	9606.ENSP00000311430	0.402	0.402
MRPL46	RPS16	9606.ENSP00000312311	9606.ENSP00000367806	0.402	0.402
RBM39	RPS18	9606.ENSP00000253363	9606.ENSP00000393241	0.402	0.402
RPL35	RPN1	9606.ENSP00000259469	9606.ENSP00000296255	0.402	0.402
DDX18	RPL22	9606.ENSP00000263239	9606.ENSP00000346088	0.403	0.402
EXOSC2	RAN	9606.ENSP00000361433	9606.ENSP00000446215	0.403	0.402
MCM5	SF3B1	9606.ENSP00000216122	9606.ENSP00000335321	0.403	0.402
NSA2	RPS4X	9606.ENSP00000483484	9606.ENSP00000362744	0.403	0.402
BRIX1	RPL5	9606.ENSP00000338862	9606.ENSP00000359345	0.404	0.404
DDX54	NPM1	9606.ENSP00000323858	9606.ENSP00000296930	0.404	0.404
GTPBP4	NPM1	9606.ENSP00000354040	9606.ENSP00000296930	0.404	0.404
HSP90AB1	HSPD1	9606.ENSP00000360609	9606.ENSP00000340019	0.404	0.404
MRPL19	RPS14	9606.ENSP00000377486	9606.ENSP00000385958	0.404	0.404
MRPL19	RPL17	9606.ENSP00000377486	9606.ENSP00000463842	0.404	0.404
RBM39	RPS20	9606.ENSP00000253363	9606.ENSP00000429374	0.404	0.404
DDX3X	RPL26	9606.ENSP00000494040	9606.ENSP00000463784	0.405	0.405
LTF	NCL	9606.ENSP00000231751	9606.ENSP00000318195	0.405	0.404
PCBP2	VCP	9606.ENSP00000352438	9606.ENSP00000351777	0.405	0.404
RBM39	RPL22	9606.ENSP00000253363	9606.ENSP00000346088	0.406	0.406
