node1	node2	node1_string_id	node2_string_id	weight	weight2
C1QBP	MYH9	9606.ENSP00000225698	9606.ENSP00000216181	0.19	0.19
C1QBP	FBL	9606.ENSP00000225698	9606.ENSP00000221801	0.457	0.457
C1QBP	CS	9606.ENSP00000225698	9606.ENSP00000342056	0.155	0.154
C1QBP	JUP	9606.ENSP00000225698	9606.ENSP00000377508	0.16	0.159
C1QBP	YWHAB	9606.ENSP00000225698	9606.ENSP00000361930	0.162	0.161
C1QBP	DDX54	9606.ENSP00000225698	9606.ENSP00000323858	0.161	0.161
C1QBP	CDC42	9606.ENSP00000225698	9606.ENSP00000497733	0.166	0.165
C1QBP	RPL18	9606.ENSP00000225698	9606.ENSP00000447001	0.166	0.165
C1QBP	HNRNPD	9606.ENSP00000225698	9606.ENSP00000313199	0.172	0.171
C1QBP	RPS2	9606.ENSP00000225698	9606.ENSP00000341885	0.183	0.183
C1QBP	HNRNPC	9606.ENSP00000225698	9606.ENSP00000451291	0.292	0.292
C1QBP	HSPD1	9606.ENSP00000225698	9606.ENSP00000340019	0.292	0.292
C1QBP	CTNNB1	9606.ENSP00000225698	9606.ENSP00000495360	0.292	0.292
C1QBP	DHX9	9606.ENSP00000225698	9606.ENSP00000356520	0.292	0.292
C1QBP	ILF2	9606.ENSP00000225698	9606.ENSP00000355011	0.292	0.292
C1QBP	RPL13	9606.ENSP00000225698	9606.ENSP00000307889	0.292	0.292
C1QBP	HSPA8	9606.ENSP00000225698	9606.ENSP00000437125	0.292	0.292
C1QBP	HNRNPU	9606.ENSP00000225698	9606.ENSP00000491215	0.292	0.292
C1QBP	RBM39	9606.ENSP00000225698	9606.ENSP00000253363	0.292	0.292
C1QBP	HSPA9	9606.ENSP00000225698	9606.ENSP00000297185	0.292	0.292
C1QBP	TSFM	9606.ENSP00000225698	9606.ENSP00000313877	0.329	0.329
C1QBP	CLPX	9606.ENSP00000225698	9606.ENSP00000300107	0.329	0.329
C1QBP	MRPS27	9606.ENSP00000225698	9606.ENSP00000426941	0.329	0.329
C1QBP	LRPPRC	9606.ENSP00000225698	9606.ENSP00000260665	0.329	0.329
C1QBP	MRPL19	9606.ENSP00000225698	9606.ENSP00000377486	0.329	0.329
C1QBP	DAP3	9606.ENSP00000225698	9606.ENSP00000357320	0.329	0.329
C1QBP	THRAP3	9606.ENSP00000225698	9606.ENSP00000346634	0.352	0.351
C1QBP	TRAP1	9606.ENSP00000225698	9606.ENSP00000246957	0.392	0.392
C1QBP	UBAP2L	9606.ENSP00000225698	9606.ENSP00000389445	0.422	0.422
C1QBP	NUP107	9606.ENSP00000225698	9606.ENSP00000229179	0.424	0.424
C1QBP	NPM1	9606.ENSP00000225698	9606.ENSP00000296930	0.292	0.292
C1QBP	DDX21	9606.ENSP00000225698	9606.ENSP00000346120	0.457	0.457
C1QBP	PHB	9606.ENSP00000225698	9606.ENSP00000479488	0.457	0.457
C1QBP	NUP153	9606.ENSP00000225698	9606.ENSP00000444029	0.531	0.531
C1QBP	YBX1	9606.ENSP00000225698	9606.ENSP00000361626	0.526	0.526
C1QBP	PHB2	9606.ENSP00000225698	9606.ENSP00000441875	0.598	0.598
C1QBP	CDKN2A	9606.ENSP00000225698	9606.ENSP00000418915	0.457	0.457
IGF2BP3	RPL19	9606.ENSP00000258729	9606.ENSP00000225430	0.187	0.187
IGF2BP3	ZC3HAV1	9606.ENSP00000258729	9606.ENSP00000242351	0.19	0.19
IGF2BP3	TRIM28	9606.ENSP00000258729	9606.ENSP00000253024	0.292	0.292
IGF2BP3	RBM39	9606.ENSP00000258729	9606.ENSP00000253363	0.292	0.292
IGF2BP3	KRT17	9606.ENSP00000258729	9606.ENSP00000308452	0.16	0.159
IGF2BP3	MRPL1	9606.ENSP00000258729	9606.ENSP00000315017	0.166	0.165
IGF2BP3	NMT1	9606.ENSP00000258729	9606.ENSP00000468424	0.165	0.165
IGF2BP3	RBM14	9606.ENSP00000258729	9606.ENSP00000311747	0.186	0.185
IGF2BP3	RPL5	9606.ENSP00000258729	9606.ENSP00000359345	0.189	0.189
IGF2BP3	ILF3	9606.ENSP00000258729	9606.ENSP00000404121	0.198	0.198
IGF2BP3	PDCD6	9606.ENSP00000258729	9606.ENSP00000264933	0.217	0.217
IGF2BP3	MRPS27	9606.ENSP00000258729	9606.ENSP00000426941	0.22	0.22
IGF2BP3	UPF1	9606.ENSP00000258729	9606.ENSP00000470142	0.224	0.224
IGF2BP3	RPS17	9606.ENSP00000258729	9606.ENSP00000498019	0.292	0.292
IGF2BP3	RPL23	9606.ENSP00000258729	9606.ENSP00000420311	0.292	0.292
IGF2BP3	RPS18	9606.ENSP00000258729	9606.ENSP00000393241	0.292	0.292
IGF2BP3	RPL7A	9606.ENSP00000258729	9606.ENSP00000361076	0.292	0.292
IGF2BP3	RPS13	9606.ENSP00000258729	9606.ENSP00000435777	0.292	0.292
IGF2BP3	RPS8	9606.ENSP00000258729	9606.ENSP00000379888	0.292	0.292
IGF2BP3	RPS3A	9606.ENSP00000258729	9606.ENSP00000346050	0.292	0.292
IGF2BP3	RPS23	9606.ENSP00000258729	9606.ENSP00000296674	0.292	0.292
IGF2BP3	TUBA1B	9606.ENSP00000258729	9606.ENSP00000336799	0.292	0.292
IGF2BP3	NUDT21	9606.ENSP00000258729	9606.ENSP00000300291	0.292	0.292
IGF2BP3	TUBB	9606.ENSP00000258729	9606.ENSP00000339001	0.292	0.292
IGF2BP3	RPL11	9606.ENSP00000258729	9606.ENSP00000496250	0.292	0.292
IGF2BP3	RPL10A	9606.ENSP00000258729	9606.ENSP00000363018	0.292	0.292
IGF2BP3	PTBP1	9606.ENSP00000258729	9606.ENSP00000349428	0.292	0.292
IGF2BP3	XRCC6	9606.ENSP00000258729	9606.ENSP00000352257	0.292	0.292
IGF2BP3	RPL18	9606.ENSP00000258729	9606.ENSP00000447001	0.292	0.292
IGF2BP3	IMPDH2	9606.ENSP00000258729	9606.ENSP00000321584	0.292	0.292
IGF2BP3	PHB	9606.ENSP00000258729	9606.ENSP00000479488	0.292	0.292
IGF2BP3	SNRPE	9606.ENSP00000258729	9606.ENSP00000400591	0.292	0.292
IGF2BP3	RPS4X	9606.ENSP00000258729	9606.ENSP00000362744	0.292	0.292
IGF2BP3	RAE1	9606.ENSP00000258729	9606.ENSP00000379181	0.292	0.292
IGF2BP3	RPS9	9606.ENSP00000258729	9606.ENSP00000375632	0.292	0.292
IGF2BP3	SLC25A5	9606.ENSP00000258729	9606.ENSP00000360671	0.292	0.292
IGF2BP3	TMPO	9606.ENSP00000258729	9606.ENSP00000266732	0.292	0.292
IGF2BP3	PABPC4	9606.ENSP00000258729	9606.ENSP00000361949	0.292	0.292
IGF2BP3	KPNA2	9606.ENSP00000258729	9606.ENSP00000438483	0.292	0.292
IGF2BP3	RPSA	9606.ENSP00000258729	9606.ENSP00000389351	0.292	0.292
IGF2BP3	NONO	9606.ENSP00000258729	9606.ENSP00000276079	0.292	0.292
IGF2BP3	RPS3	9606.ENSP00000258729	9606.ENSP00000278572	0.292	0.292
IGF2BP3	RPS11	9606.ENSP00000258729	9606.ENSP00000270625	0.292	0.292
IGF2BP3	RPL22	9606.ENSP00000258729	9606.ENSP00000346088	0.292	0.292
IGF2BP3	RPS15	9606.ENSP00000258729	9606.ENSP00000466010	0.292	0.292
IGF2BP3	RPS10	9606.ENSP00000258729	9606.ENSP00000481646	0.292	0.292
IGF2BP3	SYNCRIP	9606.ENSP00000258729	9606.ENSP00000358635	0.314	0.313
IGF2BP3	RPL13	9606.ENSP00000258729	9606.ENSP00000307889	0.321	0.321
IGF2BP3	PCBP1	9606.ENSP00000258729	9606.ENSP00000305556	0.327	0.327
IGF2BP3	RPS2	9606.ENSP00000258729	9606.ENSP00000341885	0.329	0.329
IGF2BP3	RPS6	9606.ENSP00000258729	9606.ENSP00000369757	0.377	0.377
IGF2BP3	RPS20	9606.ENSP00000258729	9606.ENSP00000429374	0.397	0.396
IGF2BP3	RPS16	9606.ENSP00000258729	9606.ENSP00000367806	0.411	0.41
IGF2BP3	RACK1	9606.ENSP00000258729	9606.ENSP00000426909	0.422	0.422
IGF2BP3	RPL4	9606.ENSP00000258729	9606.ENSP00000311430	0.422	0.422
IGF2BP3	NPM1	9606.ENSP00000258729	9606.ENSP00000296930	0.422	0.422
IGF2BP3	ILF2	9606.ENSP00000258729	9606.ENSP00000355011	0.457	0.457
IGF2BP3	USP10	9606.ENSP00000258729	9606.ENSP00000457411	0.457	0.457
IGF2BP3	YBX1	9606.ENSP00000258729	9606.ENSP00000361626	0.457	0.457
IGF2BP3	RPL6	9606.ENSP00000258729	9606.ENSP00000403172	0.457	0.457
IGF2BP3	RPL37A	9606.ENSP00000258729	9606.ENSP00000418082	0.457	0.457
IGF2BP3	PABPC1	9606.ENSP00000258729	9606.ENSP00000313007	0.292	0.292
