node1	node2	node1_string_id	node2_string_id	weight	weight2
C1QBP	MYH9	9606.ENSP00000225698	9606.ENSP00000216181	0.19	0.19
C1QBP	FBL	9606.ENSP00000225698	9606.ENSP00000221801	0.457	0.457
C1QBP	CS	9606.ENSP00000225698	9606.ENSP00000342056	0.155	0.154
C1QBP	DDX54	9606.ENSP00000225698	9606.ENSP00000323858	0.161	0.161
C1QBP	UFL1	9606.ENSP00000225698	9606.ENSP00000358283	0.164	0.163
C1QBP	H3-3B	9606.ENSP00000225698	9606.ENSP00000352252	0.163	0.163
C1QBP	NOP53	9606.ENSP00000225698	9606.ENSP00000246802	0.163	0.163
C1QBP	RAC1	9606.ENSP00000225698	9606.ENSP00000348461	0.163	0.163
C1QBP	PTPMT1	9606.ENSP00000225698	9606.ENSP00000325958	0.164	0.163
C1QBP	RPL18	9606.ENSP00000225698	9606.ENSP00000447001	0.166	0.165
C1QBP	EXOSC6	9606.ENSP00000225698	9606.ENSP00000398597	0.172	0.171
C1QBP	HNRNPD	9606.ENSP00000225698	9606.ENSP00000313199	0.172	0.171
C1QBP	RPS2	9606.ENSP00000225698	9606.ENSP00000341885	0.183	0.183
C1QBP	DDX50	9606.ENSP00000225698	9606.ENSP00000362687	0.191	0.191
C1QBP	XRCC1	9606.ENSP00000225698	9606.ENSP00000262887	0.195	0.195
C1QBP	U2AF2	9606.ENSP00000225698	9606.ENSP00000307863	0.203	0.203
C1QBP	GSTP1	9606.ENSP00000225698	9606.ENSP00000381607	0.207	0.207
C1QBP	POLR1C	9606.ENSP00000225698	9606.ENSP00000496044	0.218	0.218
C1QBP	UQCRC2	9606.ENSP00000225698	9606.ENSP00000268379	0.219	0.219
C1QBP	FXR1	9606.ENSP00000225698	9606.ENSP00000350170	0.238	0.237
C1QBP	FYTTD1	9606.ENSP00000225698	9606.ENSP00000241502	0.292	0.292
C1QBP	HNRNPC	9606.ENSP00000225698	9606.ENSP00000451291	0.292	0.292
C1QBP	CTNNB1	9606.ENSP00000225698	9606.ENSP00000495360	0.292	0.292
C1QBP	DHX9	9606.ENSP00000225698	9606.ENSP00000356520	0.292	0.292
C1QBP	ILF2	9606.ENSP00000225698	9606.ENSP00000355011	0.292	0.292
C1QBP	RPL13	9606.ENSP00000225698	9606.ENSP00000307889	0.292	0.292
C1QBP	HNRNPU	9606.ENSP00000225698	9606.ENSP00000491215	0.292	0.292
C1QBP	RBM39	9606.ENSP00000225698	9606.ENSP00000253363	0.292	0.292
C1QBP	KIF20A	9606.ENSP00000225698	9606.ENSP00000378356	0.292	0.292
C1QBP	TSFM	9606.ENSP00000225698	9606.ENSP00000313877	0.329	0.329
C1QBP	GRSF1	9606.ENSP00000225698	9606.ENSP00000254799	0.329	0.329
C1QBP	PTCD3	9606.ENSP00000225698	9606.ENSP00000254630	0.329	0.329
C1QBP	MRPS27	9606.ENSP00000225698	9606.ENSP00000426941	0.329	0.329
C1QBP	POLDIP2	9606.ENSP00000225698	9606.ENSP00000475924	0.329	0.329
C1QBP	LRPPRC	9606.ENSP00000225698	9606.ENSP00000260665	0.329	0.329
C1QBP	DAP3	9606.ENSP00000225698	9606.ENSP00000357320	0.329	0.329
C1QBP	LONP1	9606.ENSP00000225698	9606.ENSP00000353826	0.329	0.329
C1QBP	TRAP1	9606.ENSP00000225698	9606.ENSP00000246957	0.392	0.392
C1QBP	UBAP2L	9606.ENSP00000225698	9606.ENSP00000389445	0.422	0.422
C1QBP	NUP107	9606.ENSP00000225698	9606.ENSP00000229179	0.424	0.424
C1QBP	NPM1	9606.ENSP00000225698	9606.ENSP00000296930	0.292	0.292
C1QBP	LBR	9606.ENSP00000225698	9606.ENSP00000339883	0.457	0.457
C1QBP	DDX21	9606.ENSP00000225698	9606.ENSP00000346120	0.457	0.457
C1QBP	PHB	9606.ENSP00000225698	9606.ENSP00000479488	0.457	0.457
C1QBP	RHOA	9606.ENSP00000225698	9606.ENSP00000400175	0.162	0.161
C1QBP	NUP153	9606.ENSP00000225698	9606.ENSP00000444029	0.531	0.531
C1QBP	RHOC	9606.ENSP00000225698	9606.ENSP00000285735	0.163	0.163
C1QBP	YBX1	9606.ENSP00000225698	9606.ENSP00000361626	0.526	0.526
IGF2BP3	RPL19	9606.ENSP00000258729	9606.ENSP00000225430	0.187	0.187
IGF2BP3	SLC25A11	9606.ENSP00000258729	9606.ENSP00000225665	0.292	0.292
IGF2BP3	TRIM28	9606.ENSP00000258729	9606.ENSP00000253024	0.292	0.292
IGF2BP3	PPAN	9606.ENSP00000258729	9606.ENSP00000253107	0.163	0.163
IGF2BP3	RBM39	9606.ENSP00000258729	9606.ENSP00000253363	0.292	0.292
IGF2BP3	NRAS	9606.ENSP00000258729	9606.ENSP00000358548	0.157	0.156
IGF2BP3	PPP1CC	9606.ENSP00000258729	9606.ENSP00000341779	0.161	0.161
IGF2BP3	SQSTM1	9606.ENSP00000258729	9606.ENSP00000374455	0.161	0.161
IGF2BP3	UFL1	9606.ENSP00000258729	9606.ENSP00000358283	0.164	0.163
IGF2BP3	SSRP1	9606.ENSP00000258729	9606.ENSP00000278412	0.165	0.165
IGF2BP3	NMT1	9606.ENSP00000258729	9606.ENSP00000468424	0.165	0.165
IGF2BP3	RBM14	9606.ENSP00000258729	9606.ENSP00000311747	0.186	0.185
IGF2BP3	RPL5	9606.ENSP00000258729	9606.ENSP00000359345	0.189	0.189
IGF2BP3	ILF3	9606.ENSP00000258729	9606.ENSP00000404121	0.198	0.198
IGF2BP3	MRPS27	9606.ENSP00000258729	9606.ENSP00000426941	0.22	0.22
IGF2BP3	RPL7A	9606.ENSP00000258729	9606.ENSP00000361076	0.292	0.292
IGF2BP3	RPS13	9606.ENSP00000258729	9606.ENSP00000435777	0.292	0.292
IGF2BP3	RPS8	9606.ENSP00000258729	9606.ENSP00000379888	0.292	0.292
IGF2BP3	RPS3A	9606.ENSP00000258729	9606.ENSP00000346050	0.292	0.292
IGF2BP3	NUDT21	9606.ENSP00000258729	9606.ENSP00000300291	0.292	0.292
IGF2BP3	RPL21	9606.ENSP00000258729	9606.ENSP00000346027	0.292	0.292
IGF2BP3	RPL11	9606.ENSP00000258729	9606.ENSP00000496250	0.292	0.292
IGF2BP3	RPL10A	9606.ENSP00000258729	9606.ENSP00000363018	0.292	0.292
IGF2BP3	PTBP1	9606.ENSP00000258729	9606.ENSP00000349428	0.292	0.292
IGF2BP3	MDH2	9606.ENSP00000258729	9606.ENSP00000327070	0.292	0.292
IGF2BP3	XRCC6	9606.ENSP00000258729	9606.ENSP00000352257	0.292	0.292
IGF2BP3	RPL18	9606.ENSP00000258729	9606.ENSP00000447001	0.292	0.292
IGF2BP3	IMPDH2	9606.ENSP00000258729	9606.ENSP00000321584	0.292	0.292
IGF2BP3	PHB	9606.ENSP00000258729	9606.ENSP00000479488	0.292	0.292
IGF2BP3	RPS4X	9606.ENSP00000258729	9606.ENSP00000362744	0.292	0.292
IGF2BP3	RAE1	9606.ENSP00000258729	9606.ENSP00000379181	0.292	0.292
IGF2BP3	RPS9	9606.ENSP00000258729	9606.ENSP00000375632	0.292	0.292
IGF2BP3	MYO1C	9606.ENSP00000258729	9606.ENSP00000496954	0.292	0.292
IGF2BP3	TMPO	9606.ENSP00000258729	9606.ENSP00000266732	0.292	0.292
IGF2BP3	PABPC4	9606.ENSP00000258729	9606.ENSP00000361949	0.292	0.292
IGF2BP3	KPNA2	9606.ENSP00000258729	9606.ENSP00000438483	0.292	0.292
IGF2BP3	RPSA	9606.ENSP00000258729	9606.ENSP00000389351	0.292	0.292
IGF2BP3	NONO	9606.ENSP00000258729	9606.ENSP00000276079	0.292	0.292
IGF2BP3	TUBB3	9606.ENSP00000258729	9606.ENSP00000320295	0.292	0.292
IGF2BP3	RPS3	9606.ENSP00000258729	9606.ENSP00000278572	0.292	0.292
IGF2BP3	RPS11	9606.ENSP00000258729	9606.ENSP00000270625	0.292	0.292
IGF2BP3	RPS15	9606.ENSP00000258729	9606.ENSP00000466010	0.292	0.292
IGF2BP3	SYNCRIP	9606.ENSP00000258729	9606.ENSP00000358635	0.314	0.313
IGF2BP3	RPL13	9606.ENSP00000258729	9606.ENSP00000307889	0.321	0.321
IGF2BP3	PCBP1	9606.ENSP00000258729	9606.ENSP00000305556	0.327	0.327
IGF2BP3	RPS2	9606.ENSP00000258729	9606.ENSP00000341885	0.329	0.329
IGF2BP3	RPS6	9606.ENSP00000258729	9606.ENSP00000369757	0.377	0.377
IGF2BP3	RACK1	9606.ENSP00000258729	9606.ENSP00000426909	0.422	0.422
IGF2BP3	RPL4	9606.ENSP00000258729	9606.ENSP00000311430	0.422	0.422
IGF2BP3	RCC1L	9606.ENSP00000258729	9606.ENSP00000480364	0.422	0.422
IGF2BP3	NPM1	9606.ENSP00000258729	9606.ENSP00000296930	0.422	0.422
