node1	node2	node1_string_id	node2_string_id	weight	weight2
DECR1	MRE11A	9606.ENSP00000220764	9606.ENSP00000325863	0.158	0.157
DHX9	MRE11A	9606.ENSP00000356520	9606.ENSP00000325863	0.219	0.219
EFTUD2	MRE11A	9606.ENSP00000392094	9606.ENSP00000325863	0.165	0.165
HNRNPM	MRE11A	9606.ENSP00000325376	9606.ENSP00000325863	0.216	0.216
MRE11A	RTCB	9606.ENSP00000325863	9606.ENSP00000216038	0.217	0.217
MRE11A	TRIM28	9606.ENSP00000325863	9606.ENSP00000253024	0.292	0.292
MRE11A	TMPO	9606.ENSP00000325863	9606.ENSP00000266732	0.207	0.207
MRE11A	TPR	9606.ENSP00000325863	9606.ENSP00000356448	0.202	0.202
MRE11A	RPL27	9606.ENSP00000325863	9606.ENSP00000464813	0.217	0.217
MRE11A	VCP	9606.ENSP00000325863	9606.ENSP00000351777	0.292	0.292
MRE11A	RBBP4	9606.ENSP00000325863	9606.ENSP00000362592	0.292	0.292
MRE11A	PARP1	9606.ENSP00000325863	9606.ENSP00000355759	0.292	0.292
APEX1	XRCC5	9606.ENSP00000216714	9606.ENSP00000375978	0.292	0.292
C1QBP	XRCC5	9606.ENSP00000225698	9606.ENSP00000375978	0.161	0.161
DDB1	XRCC5	9606.ENSP00000301764	9606.ENSP00000375978	0.292	0.292
DDX17	XRCC5	9606.ENSP00000380033	9606.ENSP00000375978	0.292	0.292
DHX9	XRCC5	9606.ENSP00000356520	9606.ENSP00000375978	0.457	0.457
EWSR1	XRCC5	9606.ENSP00000400142	9606.ENSP00000375978	0.292	0.292
HNRNPD	XRCC5	9606.ENSP00000313199	9606.ENSP00000375978	0.292	0.292
KIF20A	XRCC5	9606.ENSP00000378356	9606.ENSP00000375978	0.292	0.292
MACROD1	XRCC5	9606.ENSP00000255681	9606.ENSP00000375978	0.292	0.292
MACROH2A1	XRCC5	9606.ENSP00000423563	9606.ENSP00000375978	0.292	0.292
PARP1	XRCC5	9606.ENSP00000355759	9606.ENSP00000375978	0.459	0.459
PCBP1	XRCC5	9606.ENSP00000305556	9606.ENSP00000375978	0.164	0.163
PHB	XRCC5	9606.ENSP00000479488	9606.ENSP00000375978	0.292	0.292
PNKP	XRCC5	9606.ENSP00000323511	9606.ENSP00000375978	0.292	0.292
POLR2E	XRCC5	9606.ENSP00000478303	9606.ENSP00000375978	0.292	0.292
PRKDC	XRCC5	9606.ENSP00000313420	9606.ENSP00000375978	0.96	0.96
PRPF8	XRCC5	9606.ENSP00000460348	9606.ENSP00000375978	0.17	0.169
RBM39	XRCC5	9606.ENSP00000253363	9606.ENSP00000375978	0.317	0.317
RUVBL2	XRCC5	9606.ENSP00000473172	9606.ENSP00000375978	0.183	0.183
SMARCA5	XRCC5	9606.ENSP00000283131	9606.ENSP00000375978	0.292	0.292
TMPO	XRCC5	9606.ENSP00000266732	9606.ENSP00000375978	0.457	0.457
TRIM28	XRCC5	9606.ENSP00000253024	9606.ENSP00000375978	0.292	0.292
EFTUD2	RACK1	9606.ENSP00000392094	9606.ENSP00000426909	0.4	0.4
EFTUD2	RPLP0	9606.ENSP00000392094	9606.ENSP00000449328	0.4	0.4
EIF6	PPAN	9606.ENSP00000363559	9606.ENSP00000253107	0.401	0.401
GNL3	RPL7A	9606.ENSP00000395772	9606.ENSP00000361076	0.401	0.4
MACROH2A1	RUVBL1	9606.ENSP00000423563	9606.ENSP00000318297	0.401	0.401
RPL4	WDR36	9606.ENSP00000311430	9606.ENSP00000423067	0.401	0.401
HNRNPD	PCBP1	9606.ENSP00000313199	9606.ENSP00000305556	0.402	0.402
ATAD3A	VCP	9606.ENSP00000368030	9606.ENSP00000351777	0.403	0.402
EIF6	RPS4X	9606.ENSP00000363559	9606.ENSP00000362744	0.403	0.402
BRIX1	RPL5	9606.ENSP00000338862	9606.ENSP00000359345	0.404	0.404
GTPBP4	NPM1	9606.ENSP00000354040	9606.ENSP00000296930	0.404	0.404
PCBP2	VCP	9606.ENSP00000352438	9606.ENSP00000351777	0.405	0.404
NAT10	RPL5	9606.ENSP00000257829	9606.ENSP00000359345	0.406	0.406
DDX27	RPL18A	9606.ENSP00000483495	9606.ENSP00000222247	0.408	0.408
LMNA	SF3B3	9606.ENSP00000357283	9606.ENSP00000305790	0.408	0.408
PRPF8	RBM39	9606.ENSP00000460348	9606.ENSP00000253363	0.408	0.408
RPL26	WDR74	9606.ENSP00000463784	9606.ENSP00000432119	0.408	0.408
DDX17	SFPQ	9606.ENSP00000380033	9606.ENSP00000349748	0.409	0.408
DHX9	ELAVL1	9606.ENSP00000356520	9606.ENSP00000385269	0.409	0.408
HSP90AB1	PSMA2	9606.ENSP00000360609	9606.ENSP00000223321	0.409	0.408
PABPC1	PCBP1	9606.ENSP00000313007	9606.ENSP00000305556	0.409	0.408
RBM39	SF3B2	9606.ENSP00000253363	9606.ENSP00000318861	0.409	0.408
DDX18	RPL26	9606.ENSP00000263239	9606.ENSP00000463784	0.411	0.41
PABPC1	RALY	9606.ENSP00000313007	9606.ENSP00000246194	0.411	0.41
RBM39	RPS4X	9606.ENSP00000253363	9606.ENSP00000362744	0.411	0.41
DDX21	NOP58	9606.ENSP00000346120	9606.ENSP00000264279	0.412	0.412
NUP107	RCC1	9606.ENSP00000229179	9606.ENSP00000497402	0.412	0.412
RBM39	RPS8	9606.ENSP00000253363	9606.ENSP00000379888	0.413	0.412
NOL6	RPL4	9606.ENSP00000297990	9606.ENSP00000311430	0.414	0.414
RPL4	RRP9	9606.ENSP00000311430	9606.ENSP00000232888	0.414	0.414
EBNA1BP2	NOP58	9606.ENSP00000407323	9606.ENSP00000264279	0.415	0.415
NPM1	RPLP0	9606.ENSP00000296930	9606.ENSP00000449328	0.415	0.414
NOP58	POLR1E	9606.ENSP00000264279	9606.ENSP00000367029	0.416	0.416
HNRNPA2B1	HNRNPA3	9606.ENSP00000346694	9606.ENSP00000376309	0.419	0.418
NCL	RPL3	9606.ENSP00000318195	9606.ENSP00000346001	0.419	0.418
DDX18	TBL3	9606.ENSP00000263239	9606.ENSP00000454836	0.42	0.42
DDX21	DHX9	9606.ENSP00000346120	9606.ENSP00000356520	0.42	0.42
DDX39B	RBM39	9606.ENSP00000416269	9606.ENSP00000253363	0.42	0.42
ELAVL1	PCBP2	9606.ENSP00000385269	9606.ENSP00000352438	0.42	0.42
EWSR1	HNRNPD	9606.ENSP00000400142	9606.ENSP00000313199	0.42	0.42
ILF3	NPM1	9606.ENSP00000404121	9606.ENSP00000296930	0.42	0.42
