node1	node2	node1_string_id	node2_string_id	weight	weight2
EIF6	PPAN	9606.ENSP00000363559	9606.ENSP00000253107	0.401	0.401
MACROH2A1	RUVBL1	9606.ENSP00000423563	9606.ENSP00000318297	0.401	0.401
RPL4	WDR36	9606.ENSP00000311430	9606.ENSP00000423067	0.401	0.401
ATAD3A	VCP	9606.ENSP00000368030	9606.ENSP00000351777	0.403	0.402
DDX54	NPM1	9606.ENSP00000323858	9606.ENSP00000296930	0.404	0.404
PCBP2	VCP	9606.ENSP00000352438	9606.ENSP00000351777	0.405	0.404
DHX9	ELAVL1	9606.ENSP00000356520	9606.ENSP00000385269	0.409	0.408
NPM1	RPLP0	9606.ENSP00000296930	9606.ENSP00000449328	0.415	0.414
DDX21	DHX9	9606.ENSP00000346120	9606.ENSP00000356520	0.42	0.42
ELAVL1	PCBP2	9606.ENSP00000385269	9606.ENSP00000352438	0.42	0.42
ILF3	NPM1	9606.ENSP00000404121	9606.ENSP00000296930	0.42	0.42
FUBP3	PCBP2	9606.ENSP00000318177	9606.ENSP00000352438	0.421	0.42
CPSF1	RBM14	9606.ENSP00000484669	9606.ENSP00000311747	0.422	0.422
HNRNPL	ILF3	9606.ENSP00000221419	9606.ENSP00000404121	0.422	0.422
PCBP2	RACK1	9606.ENSP00000352438	9606.ENSP00000426909	0.422	0.422
HSP90AA1	VCP	9606.ENSP00000335153	9606.ENSP00000351777	0.423	0.422
DHX9	HNRNPA2B1	9606.ENSP00000356520	9606.ENSP00000346694	0.435	0.435
PARP1	PNKP	9606.ENSP00000355759	9606.ENSP00000323511	0.435	0.435
CCAR2	HNRNPL	9606.ENSP00000310670	9606.ENSP00000221419	0.436	0.436
DDX27	NOP2	9606.ENSP00000483495	9606.ENSP00000371858	0.436	0.436
ILF3	TMPO	9606.ENSP00000404121	9606.ENSP00000266732	0.442	0.442
EXOSC10	RPL5	9606.ENSP00000366135	9606.ENSP00000359345	0.443	0.443
ADAR	DHX9	9606.ENSP00000357459	9606.ENSP00000356520	0.446	0.446
HNRNPL	LRPPRC	9606.ENSP00000221419	9606.ENSP00000260665	0.449	0.449
HSP90AB1	NUP107	9606.ENSP00000360609	9606.ENSP00000229179	0.45	0.45
HSP90AB1	NUP85	9606.ENSP00000360609	9606.ENSP00000245544	0.45	0.45
NUP107	PRKDC	9606.ENSP00000229179	9606.ENSP00000313420	0.45	0.45
NUP85	PRKDC	9606.ENSP00000245544	9606.ENSP00000313420	0.45	0.45
DDX27	PPAN	9606.ENSP00000483495	9606.ENSP00000253107	0.451	0.451
DDX21	KPNA2	9606.ENSP00000346120	9606.ENSP00000438483	0.455	0.455
ADAR	ILF3	9606.ENSP00000357459	9606.ENSP00000404121	0.457	0.457
CBX3	MACROH2A1	9606.ENSP00000336687	9606.ENSP00000423563	0.457	0.457
DDB1	WDR5	9606.ENSP00000301764	9606.ENSP00000351446	0.457	0.457
DDX21	NPM1	9606.ENSP00000346120	9606.ENSP00000296930	0.457	0.457
DDX39B	FYTTD1	9606.ENSP00000416269	9606.ENSP00000241502	0.457	0.457
DHX9	ILF3	9606.ENSP00000356520	9606.ENSP00000404121	0.457	0.457
DHX9	EWSR1	9606.ENSP00000356520	9606.ENSP00000400142	0.457	0.457
HNRNPL	NPLOC4	9606.ENSP00000221419	9606.ENSP00000331487	0.457	0.457
HNRNPL	PCBP2	9606.ENSP00000221419	9606.ENSP00000352438	0.457	0.457
ILF3	PRKDC	9606.ENSP00000404121	9606.ENSP00000313420	0.457	0.457
ILF3	RPS2	9606.ENSP00000404121	9606.ENSP00000341885	0.457	0.457
LMNB1	TMPO	9606.ENSP00000261366	9606.ENSP00000266732	0.457	0.457
NPM1	RPL5	9606.ENSP00000296930	9606.ENSP00000359345	0.457	0.457
PARP1	PRKDC	9606.ENSP00000355759	9606.ENSP00000313420	0.457	0.457
PCBP1	PCBP2	9606.ENSP00000305556	9606.ENSP00000352438	0.457	0.457
POLR2E	RUVBL2	9606.ENSP00000478303	9606.ENSP00000473172	0.457	0.457
MACROH2A1	PARP1	9606.ENSP00000423563	9606.ENSP00000355759	0.458	0.458
HNRNPA2B1	HNRNPL	9606.ENSP00000346694	9606.ENSP00000221419	0.46	0.459
KPNA2	RANBP2	9606.ENSP00000438483	9606.ENSP00000283195	0.466	0.466
HSP90AB1	HSPA1B	9606.ENSP00000360609	9606.ENSP00000364801	0.469	0.469
EBNA1BP2	RPLP0	9606.ENSP00000407323	9606.ENSP00000449328	0.47	0.47
NUP153	NUP54	9606.ENSP00000444029	9606.ENSP00000264883	0.486	0.486
PCBP2	SF3B2	9606.ENSP00000352438	9606.ENSP00000318861	0.488	0.487
NUP107	TPR	9606.ENSP00000229179	9606.ENSP00000356448	0.502	0.502
PRKDC	RUVBL2	9606.ENSP00000313420	9606.ENSP00000473172	0.506	0.506
NUP153	TPR	9606.ENSP00000444029	9606.ENSP00000356448	0.509	0.509
EBNA1BP2	NCL	9606.ENSP00000407323	9606.ENSP00000318195	0.518	0.518
NCL	NPM1	9606.ENSP00000318195	9606.ENSP00000296930	0.523	0.523
EBNA1BP2	NOP56	9606.ENSP00000407323	9606.ENSP00000370589	0.537	0.537
MACROH2A1	RUVBL2	9606.ENSP00000423563	9606.ENSP00000473172	0.539	0.539
HNRNPA2B1	ILF3	9606.ENSP00000346694	9606.ENSP00000404121	0.542	0.542
ILF3	RPL10A	9606.ENSP00000404121	9606.ENSP00000363018	0.542	0.542
EBNA1BP2	RPL4	9606.ENSP00000407323	9606.ENSP00000311430	0.566	0.566
NUP153	RANBP2	9606.ENSP00000444029	9606.ENSP00000283195	0.568	0.568
MACROH2A1	XRCC6	9606.ENSP00000423563	9606.ENSP00000352257	0.569	0.569
NOP2	NOP56	9606.ENSP00000371858	9606.ENSP00000370589	0.57	0.57
ACTL6A	RUVBL1	9606.ENSP00000397552	9606.ENSP00000318297	0.577	0.577
NOP2	RPL10A	9606.ENSP00000371858	9606.ENSP00000363018	0.577	0.577
DDX27	RPL10A	9606.ENSP00000483495	9606.ENSP00000363018	0.578	0.578
NOP2	RPL4	9606.ENSP00000371858	9606.ENSP00000311430	0.59	0.59
ACTL6A	RUVBL2	9606.ENSP00000397552	9606.ENSP00000473172	0.591	0.591
CCAR2	SF3A2	9606.ENSP00000310670	9606.ENSP00000221494	0.591	0.591
ELAVL1	SF3A2	9606.ENSP00000385269	9606.ENSP00000221494	0.591	0.591
ILF3	SF3A2	9606.ENSP00000404121	9606.ENSP00000221494	0.591	0.591
KPNA2	NUMA1	9606.ENSP00000438483	9606.ENSP00000377298	0.591	0.591
PCBP1	SF3A2	9606.ENSP00000305556	9606.ENSP00000221494	0.591	0.591
NOP56	RPL4	9606.ENSP00000370589	9606.ENSP00000311430	0.594	0.594
ACTB	RUVBL1	9606.ENSP00000494750	9606.ENSP00000318297	0.595	0.595
NUP153	NUP160	9606.ENSP00000444029	9606.ENSP00000367721	0.595	0.595
HNRNPA2B1	SF3A2	9606.ENSP00000346694	9606.ENSP00000221494	0.599	0.599
DHX9	SF3A2	9606.ENSP00000356520	9606.ENSP00000221494	0.607	0.607
NUP153	NUP205	9606.ENSP00000444029	9606.ENSP00000285968	0.618	0.618
NOP2	RPL18	9606.ENSP00000371858	9606.ENSP00000447001	0.622	0.622
ACTB	RUVBL2	9606.ENSP00000494750	9606.ENSP00000473172	0.623	0.623
LMNB1	LMNB2	9606.ENSP00000261366	9606.ENSP00000327054	0.629	0.629
DDX21	EBNA1BP2	9606.ENSP00000346120	9606.ENSP00000407323	0.635	0.635
HSP90AA1	HSPA1B	9606.ENSP00000335153	9606.ENSP00000364801	0.656	0.656
KPNA2	NUP153	9606.ENSP00000438483	9606.ENSP00000444029	0.665	0.665
HSP90AA1	HSP90AB1	9606.ENSP00000335153	9606.ENSP00000360609	0.669	0.669
PARP1	XRCC6	9606.ENSP00000355759	9606.ENSP00000352257	0.671	0.671
DHX9	KHDRBS1	9606.ENSP00000356520	9606.ENSP00000313829	0.702	0.702
NUP153	NUP85	9606.ENSP00000444029	9606.ENSP00000245544	0.71	0.71
EBNA1BP2	RPL18	9606.ENSP00000407323	9606.ENSP00000447001	0.731	0.731
EIF6	NOP2	9606.ENSP00000363559	9606.ENSP00000371858	0.737	0.737
EBNA1BP2	NOP2	9606.ENSP00000407323	9606.ENSP00000371858	0.754	0.754
NUP107	NUP153	9606.ENSP00000229179	9606.ENSP00000444029	0.757	0.757
EIF6	RPLP0	9606.ENSP00000363559	9606.ENSP00000449328	0.797	0.797
DDB1	POLR2E	9606.ENSP00000301764	9606.ENSP00000478303	0.8	0.8
NUP160	NUP54	9606.ENSP00000367721	9606.ENSP00000264883	0.8	0.8
EBNA1BP2	EIF6	9606.ENSP00000407323	9606.ENSP00000363559	0.819	0.819
NUP205	RANBP2	9606.ENSP00000285968	9606.ENSP00000283195	0.842	0.842
NUP54	RANBP2	9606.ENSP00000264883	9606.ENSP00000283195	0.844	0.844
EXOSC10	RPS11	9606.ENSP00000366135	9606.ENSP00000270625	0.847	0.847
NUP160	NUP205	9606.ENSP00000367721	9606.ENSP00000285968	0.857	0.857
EXOSC10	NOP56	9606.ENSP00000366135	9606.ENSP00000370589	0.862	0.862
EXOSC10	UTP18	9606.ENSP00000366135	9606.ENSP00000225298	0.867	0.867
EIF6	RPL10A	9606.ENSP00000363559	9606.ENSP00000363018	0.868	0.868
NUP54	NUP85	9606.ENSP00000264883	9606.ENSP00000245544	0.872	0.872
EXOSC10	UTP4	9606.ENSP00000366135	9606.ENSP00000327179	0.891	0.891
EXOSC10	WDR36	9606.ENSP00000366135	9606.ENSP00000423067	0.891	0.891
NUP107	NUP54	9606.ENSP00000229179	9606.ENSP00000264883	0.892	0.892
NUP160	RANBP2	9606.ENSP00000367721	9606.ENSP00000283195	0.896	0.896
PLRG1	SF3B2	9606.ENSP00000424417	9606.ENSP00000318861	0.896	0.896
NUP205	NUP85	9606.ENSP00000285968	9606.ENSP00000245544	0.899	0.899
RPS11	UTP18	9606.ENSP00000270625	9606.ENSP00000225298	0.9	0.9
RPS11	WDR36	9606.ENSP00000270625	9606.ENSP00000423067	0.9	0.9
