node1	node2	node1_string_id	node2_string_id	weight	weight2
APEX1	SIRT6	9606.ENSP00000216714	9606.ENSP00000337332	0.292	0.292
G3BP1	SIRT6	9606.ENSP00000377681	9606.ENSP00000337332	0.174	0.173
HIST1H2BO	SIRT6	9606.ENSP00000477527	9606.ENSP00000337332	0.23	0.229
MACROH2A1	SIRT6	9606.ENSP00000423563	9606.ENSP00000337332	0.218	0.218
PARP1	SIRT6	9606.ENSP00000355759	9606.ENSP00000337332	0.292	0.292
PRKDC	SIRT6	9606.ENSP00000313420	9606.ENSP00000337332	0.292	0.292
RBM14	SIRT6	9606.ENSP00000311747	9606.ENSP00000337332	0.162	0.161
RPL3	SIRT6	9606.ENSP00000346001	9606.ENSP00000337332	0.292	0.292
SIRT6	XRCC5	9606.ENSP00000337332	9606.ENSP00000375978	0.292	0.292
SIRT6	XRCC6	9606.ENSP00000337332	9606.ENSP00000352257	0.292	0.292
APEX1	XRCC5	9606.ENSP00000216714	9606.ENSP00000375978	0.292	0.292
DDB1	XRCC5	9606.ENSP00000301764	9606.ENSP00000375978	0.292	0.292
DDX17	XRCC5	9606.ENSP00000380033	9606.ENSP00000375978	0.292	0.292
DHX9	XRCC5	9606.ENSP00000356520	9606.ENSP00000375978	0.457	0.457
EWSR1	XRCC5	9606.ENSP00000400142	9606.ENSP00000375978	0.292	0.292
HIST2H2BE	XRCC5	9606.ENSP00000358151	9606.ENSP00000375978	0.187	0.187
HIST1H4F	XRCC5	9606.ENSP00000244537	9606.ENSP00000375978	0.457	0.457
HNRNPA1	XRCC5	9606.ENSP00000341826	9606.ENSP00000375978	0.211	0.211
HNRNPC	XRCC5	9606.ENSP00000451291	9606.ENSP00000375978	0.292	0.292
HNRNPD	XRCC5	9606.ENSP00000313199	9606.ENSP00000375978	0.292	0.292
HNRNPL	XRCC5	9606.ENSP00000221419	9606.ENSP00000375978	0.292	0.292
ILF2	XRCC5	9606.ENSP00000355011	9606.ENSP00000375978	0.292	0.292
MACROH2A1	XRCC5	9606.ENSP00000423563	9606.ENSP00000375978	0.292	0.292
ORC2	XRCC5	9606.ENSP00000234296	9606.ENSP00000375978	0.429	0.428
PAF1	XRCC5	9606.ENSP00000221265	9606.ENSP00000375978	0.213	0.213
PARP1	XRCC5	9606.ENSP00000355759	9606.ENSP00000375978	0.459	0.459
PHB	XRCC5	9606.ENSP00000479488	9606.ENSP00000375978	0.292	0.292
PNKP	XRCC5	9606.ENSP00000323511	9606.ENSP00000375978	0.292	0.292
POLR2E	XRCC5	9606.ENSP00000478303	9606.ENSP00000375978	0.292	0.292
PRKDC	XRCC5	9606.ENSP00000313420	9606.ENSP00000375978	0.96	0.96
PRPF8	XRCC5	9606.ENSP00000460348	9606.ENSP00000375978	0.17	0.169
RBM14	XRCC5	9606.ENSP00000311747	9606.ENSP00000375978	0.292	0.292
RUVBL2	XRCC5	9606.ENSP00000473172	9606.ENSP00000375978	0.183	0.183
TMPO	XRCC5	9606.ENSP00000266732	9606.ENSP00000375978	0.457	0.457
XRCC5	XRCC6	9606.ENSP00000375978	9606.ENSP00000352257	0.967	0.967
XRCC5	YBX1	9606.ENSP00000375978	9606.ENSP00000361626	0.292	0.292
EFTUD2	RPS9	9606.ENSP00000392094	9606.ENSP00000375632	0.4	0.4
EFTUD2	RACK1	9606.ENSP00000392094	9606.ENSP00000426909	0.4	0.4
EFTUD2	RPS27	9606.ENSP00000392094	9606.ENSP00000499044	0.4	0.4
EFTUD2	RPLP0	9606.ENSP00000392094	9606.ENSP00000449328	0.4	0.4
HSP90AB1	MCM5	9606.ENSP00000360609	9606.ENSP00000216122	0.4	0.4
GCN1L1	RPS27	9606.ENSP00000300648	9606.ENSP00000499044	0.401	0.4
GCN1L1	RPL26	9606.ENSP00000300648	9606.ENSP00000463784	0.401	0.4
GCN1L1	RPS14	9606.ENSP00000300648	9606.ENSP00000385958	0.401	0.4
GNL3	RPL7A	9606.ENSP00000395772	9606.ENSP00000361076	0.401	0.4
H1-5	HIST1H4F	9606.ENSP00000330074	9606.ENSP00000244537	0.401	0.401
PES1	RPL26	9606.ENSP00000346725	9606.ENSP00000463784	0.401	0.4
GCN1L1	RPL3	9606.ENSP00000300648	9606.ENSP00000346001	0.402	0.402
GCN1L1	RPL10	9606.ENSP00000300648	9606.ENSP00000413436	0.402	0.402
PNN	SNW1	9606.ENSP00000216832	9606.ENSP00000451129	0.402	0.402
MCM5	SF3B1	9606.ENSP00000216122	9606.ENSP00000335321	0.403	0.402
BRIX1	RPL5	9606.ENSP00000338862	9606.ENSP00000359345	0.404	0.404
DDX54	NPM1	9606.ENSP00000323858	9606.ENSP00000296930	0.404	0.404
HSP90AB1	HSPD1	9606.ENSP00000360609	9606.ENSP00000340019	0.404	0.404
NPM1	RPF1	9606.ENSP00000296930	9606.ENSP00000359688	0.404	0.404
DDX3X	RPL26	9606.ENSP00000494040	9606.ENSP00000463784	0.405	0.405
PCBP2	VCP	9606.ENSP00000352438	9606.ENSP00000351777	0.405	0.404
RPL26	WDR74	9606.ENSP00000463784	9606.ENSP00000432119	0.408	0.408
CDC5L	SPTBN1	9606.ENSP00000360532	9606.ENSP00000349259	0.409	0.408
DDX17	SFPQ	9606.ENSP00000380033	9606.ENSP00000349748	0.409	0.408
DHX9	ELAVL1	9606.ENSP00000356520	9606.ENSP00000385269	0.409	0.408
G3BP2	RPS8	9606.ENSP00000352738	9606.ENSP00000379888	0.409	0.408
HSP90AB1	PSMA2	9606.ENSP00000360609	9606.ENSP00000223321	0.409	0.408
HSPA8	PSMA2	9606.ENSP00000437125	9606.ENSP00000223321	0.409	0.408
PABPC1	RALY	9606.ENSP00000313007	9606.ENSP00000246194	0.411	0.41
DDX21	NOP58	9606.ENSP00000346120	9606.ENSP00000264279	0.412	0.412
NOL6	RPL4	9606.ENSP00000297990	9606.ENSP00000311430	0.414	0.414
RPL4	RRP9	9606.ENSP00000311430	9606.ENSP00000232888	0.414	0.414
HNRNPA1	PABPC1	9606.ENSP00000341826	9606.ENSP00000313007	0.415	0.414
NPM1	RPLP0	9606.ENSP00000296930	9606.ENSP00000449328	0.415	0.414
RPS8	YBX1	9606.ENSP00000379888	9606.ENSP00000361626	0.416	0.416
FBL	NSUN2	9606.ENSP00000221801	9606.ENSP00000264670	0.417	0.417
GLYR1	HIST2H2BE	9606.ENSP00000322716	9606.ENSP00000358151	0.418	0.418
HNRNPA2B1	HNRNPA3	9606.ENSP00000346694	9606.ENSP00000376309	0.419	0.418
NCL	RPL3	9606.ENSP00000318195	9606.ENSP00000346001	0.419	0.418
DDX21	DHX9	9606.ENSP00000346120	9606.ENSP00000356520	0.42	0.42
ELAVL1	PCBP2	9606.ENSP00000385269	9606.ENSP00000352438	0.42	0.42
EWSR1	HNRNPD	9606.ENSP00000400142	9606.ENSP00000313199	0.42	0.42
G3BP1	RPS11	9606.ENSP00000377681	9606.ENSP00000270625	0.42	0.42
GLYR1	RPL37A	9606.ENSP00000322716	9606.ENSP00000418082	0.42	0.42
HNRNPK	RBM14	9606.ENSP00000365458	9606.ENSP00000311747	0.42	0.42
ILF3	NPM1	9606.ENSP00000404121	9606.ENSP00000296930	0.42	0.42
MCM5	SF3A1	9606.ENSP00000216122	9606.ENSP00000215793	0.42	0.42
NUP153	RCC1	9606.ENSP00000444029	9606.ENSP00000497402	0.42	0.42
BANF1	PARP1	9606.ENSP00000433760	9606.ENSP00000355759	0.421	0.42
CELF1	ELAVL1	9606.ENSP00000436864	9606.ENSP00000385269	0.421	0.42
DDB1	HIST2H2BE	9606.ENSP00000301764	9606.ENSP00000358151	0.421	0.42
GNL3	RBBP7	9606.ENSP00000395772	9606.ENSP00000369424	0.421	0.42
HIST1H1C	NPM1	9606.ENSP00000339566	9606.ENSP00000296930	0.421	0.42
HNRNPA2B1	PSMA3	9606.ENSP00000346694	9606.ENSP00000216455	0.421	0.42
HNRNPH1	SFPQ	9606.ENSP00000349168	9606.ENSP00000349748	0.421	0.42
LMNB1	VIM	9606.ENSP00000261366	9606.ENSP00000446007	0.421	0.42
MCM5	SF3A3	9606.ENSP00000216122	9606.ENSP00000362110	0.421	0.42
NOLC1	NHP2L1	9606.ENSP00000385410	9606.ENSP00000383949	0.421	0.42
NUMA1	RAE1	9606.ENSP00000377298	9606.ENSP00000379181	0.421	0.42
RPSA	SF3B1	9606.ENSP00000389351	9606.ENSP00000335321	0.421	0.42
RPSA	YBX1	9606.ENSP00000389351	9606.ENSP00000361626	0.421	0.421
BANF1	NUMA1	9606.ENSP00000433760	9606.ENSP00000377298	0.422	0.422
CPSF1	RBM14	9606.ENSP00000484669	9606.ENSP00000311747	0.422	0.422
