node1	node2	node1_string_id	node2_string_id	weight1	weight2
ACTN4	IQGAP1	9606.ENSP00000252699	9606.ENSP00000268182	0.4	0.4
CORO1C	PPP1CC	9606.ENSP00000394496	9606.ENSP00000341779	0.4	0.4
DKC1	GNL3	9606.ENSP00000358563	9606.ENSP00000395772	0.4	0.4
DNAJA1	EGFR	9606.ENSP00000369127	9606.ENSP00000275493	0.4	0.4
DNAJA2	EGFR	9606.ENSP00000314030	9606.ENSP00000275493	0.4	0.4
EFTUD2	RPS23	9606.ENSP00000392094	9606.ENSP00000296674	0.4	0.4
EFTUD2	RPS2	9606.ENSP00000392094	9606.ENSP00000341885	0.4	0.4
EFTUD2	RPS9	9606.ENSP00000392094	9606.ENSP00000375632	0.4	0.4
EFTUD2	RACK1	9606.ENSP00000392094	9606.ENSP00000426909	0.4	0.4
EFTUD2	RPL9	9606.ENSP00000392094	9606.ENSP00000494697	0.4	0.4
EFTUD2	RPS10	9606.ENSP00000392094	9606.ENSP00000481646	0.4	0.4
EFTUD2	RPS20	9606.ENSP00000392094	9606.ENSP00000429374	0.4	0.4
EFTUD2	RPLP0	9606.ENSP00000392094	9606.ENSP00000449328	0.4	0.4
EGFR	KPNB1	9606.ENSP00000275493	9606.ENSP00000290158	0.4	0.4
EGFR	HSPA9	9606.ENSP00000275493	9606.ENSP00000297185	0.4	0.4
EGFR	SLC3A2	9606.ENSP00000275493	9606.ENSP00000367123	0.4	0.4
EGFR	EPHA2	9606.ENSP00000275493	9606.ENSP00000351209	0.4	0.4
FBLL1	RPS3A	9606.ENSP00000473383	9606.ENSP00000346050	0.4	0.4
FBLL1	RPS9	9606.ENSP00000473383	9606.ENSP00000375632	0.4	0.4
FBLL1	RPS18	9606.ENSP00000473383	9606.ENSP00000393241	0.4	0.4
FBLL1	RPS7	9606.ENSP00000473383	9606.ENSP00000495273	0.4	0.4
HSP90AB1	MCM5	9606.ENSP00000360609	9606.ENSP00000216122	0.4	0.4
MRPL19	RPL3	9606.ENSP00000377486	9606.ENSP00000346001	0.4	0.4
NSA2	PABPC4	9606.ENSP00000483484	9606.ENSP00000361949	0.4	0.4
NSA2	RPS13	9606.ENSP00000483484	9606.ENSP00000435777	0.4	0.4
NXF1	RAE1	9606.ENSP00000436679	9606.ENSP00000379181	0.4	0.4
RBM39	RPS15A	9606.ENSP00000253363	9606.ENSP00000318646	0.4	0.4
BOP1	RPL26	9606.ENSP00000455106	9606.ENSP00000463784	0.401	0.4
