node1	node2	node1_string_id	node2_string_id	weight1	weight2
DNAJA1	EGFR	9606.ENSP00000369127	9606.ENSP00000275493	0.4	0.4
EGFR	KPNB1	9606.ENSP00000275493	9606.ENSP00000290158	0.4	0.4
EGFR	HSPA9	9606.ENSP00000275493	9606.ENSP00000297185	0.4	0.4
EGFR	SLC3A2	9606.ENSP00000275493	9606.ENSP00000367123	0.4	0.4
EGFR	EPHA2	9606.ENSP00000275493	9606.ENSP00000351209	0.4	0.4
HSP90AB1	MCM5	9606.ENSP00000360609	9606.ENSP00000216122	0.4	0.4
NXF1	RAE1	9606.ENSP00000436679	9606.ENSP00000379181	0.4	0.4
BOP1	RPL26	9606.ENSP00000455106	9606.ENSP00000463784	0.401	0.4
HSPA1B	HSPA5	9606.ENSP00000364801	9606.ENSP00000324173	0.401	0.4
RBM39	RPS3A	9606.ENSP00000253363	9606.ENSP00000346050	0.401	0.4
RPL26	WDR12	9606.ENSP00000463784	9606.ENSP00000261015	0.401	0.4
RPL4	WDR36	9606.ENSP00000311430	9606.ENSP00000423067	0.401	0.401
HNRNPD	PCBP1	9606.ENSP00000313199	9606.ENSP00000305556	0.402	0.402
MRPL1	RPL18A	9606.ENSP00000315017	9606.ENSP00000222247	0.402	0.402
MRPL1	RPS11	9606.ENSP00000315017	9606.ENSP00000270625	0.402	0.402
MRPL1	RPS3	9606.ENSP00000315017	9606.ENSP00000278572	0.402	0.402
MRPL1	RPL15	9606.ENSP00000315017	9606.ENSP00000309334	0.402	0.402
MRPL1	RPS26	9606.ENSP00000315017	9606.ENSP00000348849	0.402	0.402
MRPL1	RPL10	9606.ENSP00000315017	9606.ENSP00000413436	0.402	0.402
MRPL1	RPL5	9606.ENSP00000315017	9606.ENSP00000359345	0.402	0.402
MRPL1	RPL23	9606.ENSP00000315017	9606.ENSP00000420311	0.402	0.402
MRPL1	RPL21	9606.ENSP00000315017	9606.ENSP00000346027	0.402	0.402
MRPL1	RPS3A	9606.ENSP00000315017	9606.ENSP00000346050	0.402	0.402
MRPL19	RPL4	9606.ENSP00000377486	9606.ENSP00000311430	0.402	0.402
MRPL19	RPL10A	9606.ENSP00000377486	9606.ENSP00000363018	0.402	0.402
MRPL19	RPS16	9606.ENSP00000377486	9606.ENSP00000367806	0.402	0.402
MRPL19	RPL26	9606.ENSP00000377486	9606.ENSP00000463784	0.402	0.402
MRPL21	RPL4	9606.ENSP00000354580	9606.ENSP00000311430	0.402	0.402
MRPL21	RPS16	9606.ENSP00000354580	9606.ENSP00000367806	0.402	0.402
MRPL21	RPL17	9606.ENSP00000354580	9606.ENSP00000463842	0.402	0.402
MRPL21	RPL26	9606.ENSP00000354580	9606.ENSP00000463784	0.402	0.402
RBM39	RPS18	9606.ENSP00000253363	9606.ENSP00000393241	0.402	0.402
MCM5	SF3B1	9606.ENSP00000216122	9606.ENSP00000335321	0.403	0.402
MRPL1	RPL29	9606.ENSP00000315017	9606.ENSP00000294189	0.403	0.402
MRPL1	RPS18	9606.ENSP00000315017	9606.ENSP00000393241	0.403	0.402
MRPL19	RPL8	9606.ENSP00000377486	9606.ENSP00000262584	0.403	0.402
MRPL21	RPL8	9606.ENSP00000354580	9606.ENSP00000262584	0.403	0.402
MRPL21	RPL10A	9606.ENSP00000354580	9606.ENSP00000363018	0.403	0.402
BUB3	CCT7	9606.ENSP00000357858	9606.ENSP00000258091	0.404	0.404
CAVIN1	EGFR	9606.ENSP00000349541	9606.ENSP00000275493	0.404	0.404
HSP90AB1	HSPD1	9606.ENSP00000360609	9606.ENSP00000340019	0.404	0.404
MRPL1	RPS15	9606.ENSP00000315017	9606.ENSP00000466010	0.404	0.404
MRPL1	RPS17	9606.ENSP00000315017	9606.ENSP00000498019	0.404	0.404
MRPL19	RPS13	9606.ENSP00000377486	9606.ENSP00000435777	0.404	0.404
MRPL19	RPS5	9606.ENSP00000377486	9606.ENSP00000472985	0.404	0.404
MRPL19	RPL17	9606.ENSP00000377486	9606.ENSP00000463842	0.404	0.404
MRPL21	RPS5	9606.ENSP00000354580	9606.ENSP00000472985	0.404	0.404
MRPL21	RPS13	9606.ENSP00000354580	9606.ENSP00000435777	0.404	0.404
RPS26	SLC25A1	9606.ENSP00000348849	9606.ENSP00000215882	0.404	0.404
DDX3X	RPL26	9606.ENSP00000494040	9606.ENSP00000463784	0.405	0.405
HSPA5	SEC63	9606.ENSP00000324173	9606.ENSP00000357998	0.405	0.404
PCBP2	VCP	9606.ENSP00000352438	9606.ENSP00000351777	0.405	0.404
NAT10	RPL5	9606.ENSP00000257829	9606.ENSP00000359345	0.406	0.406
PDCD11	RPL9	9606.ENSP00000358812	9606.ENSP00000494697	0.406	0.406
PRPF8	RBM39	9606.ENSP00000460348	9606.ENSP00000253363	0.408	0.408
RPL26	WDR74	9606.ENSP00000463784	9606.ENSP00000432119	0.408	0.408
CDC5L	KDM1A	9606.ENSP00000360532	9606.ENSP00000383042	0.409	0.408
DDX24	TBL3	9606.ENSP00000481495	9606.ENSP00000454836	0.409	0.408
IQGAP1	VCP	9606.ENSP00000268182	9606.ENSP00000351777	0.409	0.408
MRPL1	RPL13A	9606.ENSP00000315017	9606.ENSP00000375730	0.409	0.409
PABPC1	PCBP1	9606.ENSP00000313007	9606.ENSP00000305556	0.409	0.408
RBM39	SF3B2	9606.ENSP00000253363	9606.ENSP00000318861	0.409	0.408
RPF2	RPL13A	9606.ENSP00000402338	9606.ENSP00000375730	0.409	0.409
DDX21	ZNF512	9606.ENSP00000346120	9606.ENSP00000347648	0.41	0.41
DDX18	RPL26	9606.ENSP00000263239	9606.ENSP00000463784	0.411	0.41
GRSF1	NDUFS3	9606.ENSP00000254799	9606.ENSP00000263774	0.411	0.41
RBM39	RPS4X	9606.ENSP00000253363	9606.ENSP00000362744	0.411	0.41
DDX21	NOP58	9606.ENSP00000346120	9606.ENSP00000264279	0.412	0.412
MCM4	SF3A1	9606.ENSP00000262105	9606.ENSP00000215793	0.412	0.412
NOL6	RPL4	9606.ENSP00000297990	9606.ENSP00000311430	0.414	0.414
BUB3	CCT5	9606.ENSP00000357858	9606.ENSP00000280326	0.415	0.414
DCAF13	IFI16	9606.ENSP00000297579	9606.ENSP00000357113	0.415	0.414
EBNA1BP2	NOP58	9606.ENSP00000407323	9606.ENSP00000264279	0.415	0.415
EXOSC4	NOL6	9606.ENSP00000315476	9606.ENSP00000297990	0.416	0.416
NOP58	POLR1E	9606.ENSP00000264279	9606.ENSP00000367029	0.416	0.416
EPRS	RPS16	9606.ENSP00000355890	9606.ENSP00000367806	0.417	0.417
