node1	node2	node1_string_id	node2_string_id	weight1	weight2
CORO1C	PPP1CC	9606.ENSP00000394496	9606.ENSP00000341779	0.4	0.4
CSE1L	EGFR	9606.ENSP00000262982	9606.ENSP00000275493	0.4	0.4
DNAJA1	EGFR	9606.ENSP00000369127	9606.ENSP00000275493	0.4	0.4
DNAJA2	EGFR	9606.ENSP00000314030	9606.ENSP00000275493	0.4	0.4
EFTUD2	RPS23	9606.ENSP00000392094	9606.ENSP00000296674	0.4	0.4
EFTUD2	RPS2	9606.ENSP00000392094	9606.ENSP00000341885	0.4	0.4
EFTUD2	RPS9	9606.ENSP00000392094	9606.ENSP00000375632	0.4	0.4
EFTUD2	RACK1	9606.ENSP00000392094	9606.ENSP00000426909	0.4	0.4
EFTUD2	RPS10	9606.ENSP00000392094	9606.ENSP00000481646	0.4	0.4
EGFR	KPNB1	9606.ENSP00000275493	9606.ENSP00000290158	0.4	0.4
EGFR	HSPA9	9606.ENSP00000275493	9606.ENSP00000297185	0.4	0.4
EGFR	SLC3A2	9606.ENSP00000275493	9606.ENSP00000367123	0.4	0.4
EGFR	EPHA2	9606.ENSP00000275493	9606.ENSP00000351209	0.4	0.4
HSP90AB1	MCM5	9606.ENSP00000360609	9606.ENSP00000216122	0.4	0.4
NXF1	RAE1	9606.ENSP00000436679	9606.ENSP00000379181	0.4	0.4
BOP1	RPL26	9606.ENSP00000455106	9606.ENSP00000463784	0.401	0.4
EXOSC5	NOL6	9606.ENSP00000221233	9606.ENSP00000297990	0.401	0.4
FTSJ3	RPL26	9606.ENSP00000396673	9606.ENSP00000463784	0.401	0.4
HSPA1B	HSPA5	9606.ENSP00000364801	9606.ENSP00000324173	0.401	0.4
MAK16	RPL26	9606.ENSP00000353246	9606.ENSP00000463784	0.401	0.4
NOC2L	RPL26	9606.ENSP00000317992	9606.ENSP00000463784	0.401	0.4
NOC3L	RPL26	9606.ENSP00000360412	9606.ENSP00000463784	0.401	0.4
PES1	RPL26	9606.ENSP00000346725	9606.ENSP00000463784	0.401	0.4
RBM39	RPS3A	9606.ENSP00000253363	9606.ENSP00000346050	0.401	0.4
RPL26	WDR12	9606.ENSP00000463784	9606.ENSP00000261015	0.401	0.4
SF3B2	U2SURP	9606.ENSP00000318861	9606.ENSP00000418563	0.401	0.4
ACTB	EGFR	9606.ENSP00000494750	9606.ENSP00000275493	0.402	0.402
DAP3	RPL8	9606.ENSP00000357320	9606.ENSP00000262584	0.402	0.402
DAP3	RPS13	9606.ENSP00000357320	9606.ENSP00000435777	0.402	0.402
MRPL19	RPS16	9606.ENSP00000377486	9606.ENSP00000367806	0.402	0.402
MRPL19	RPL26	9606.ENSP00000377486	9606.ENSP00000463784	0.402	0.402
MRPL2	RPL18A	9606.ENSP00000373404	9606.ENSP00000222247	0.402	0.402
