node1	node2	node1_string_id	node2_string_id	weight1	weight2
ACTN4	IQGAP1	9606.ENSP00000252699	9606.ENSP00000268182	0.4	0.4
CORO1C	PPP1CC	9606.ENSP00000394496	9606.ENSP00000341779	0.4	0.4
EFTUD2	RPS23	9606.ENSP00000392094	9606.ENSP00000296674	0.4	0.4
EFTUD2	RPS2	9606.ENSP00000392094	9606.ENSP00000341885	0.4	0.4
EFTUD2	RPS9	9606.ENSP00000392094	9606.ENSP00000375632	0.4	0.4
EFTUD2	RACK1	9606.ENSP00000392094	9606.ENSP00000426909	0.4	0.4
EFTUD2	RPL9	9606.ENSP00000392094	9606.ENSP00000494697	0.4	0.4
EFTUD2	RPS10	9606.ENSP00000392094	9606.ENSP00000481646	0.4	0.4
EFTUD2	RPS20	9606.ENSP00000392094	9606.ENSP00000429374	0.4	0.4
NSA2	PABPC4	9606.ENSP00000483484	9606.ENSP00000361949	0.4	0.4
NSA2	RPS13	9606.ENSP00000483484	9606.ENSP00000435777	0.4	0.4
NXF1	RAE1	9606.ENSP00000436679	9606.ENSP00000379181	0.4	0.4
RBM39	RPS15A	9606.ENSP00000253363	9606.ENSP00000318646	0.4	0.4
BOP1	RPL26	9606.ENSP00000455106	9606.ENSP00000463784	0.401	0.4
DAP3	RPS5	9606.ENSP00000357320	9606.ENSP00000472985	0.401	0.4
EIF2AK2	XRN2	9606.ENSP00000233057	9606.ENSP00000366396	0.401	0.4
EXOSC5	NOL6	9606.ENSP00000221233	9606.ENSP00000297990	0.401	0.4
FTSJ3	RPL26	9606.ENSP00000396673	9606.ENSP00000463784	0.401	0.4
GNL3L	RPL7A	9606.ENSP00000354091	9606.ENSP00000361076	0.401	0.4
MRPL43	RPL13A	9606.ENSP00000339844	9606.ENSP00000375730	0.401	0.4
MRTO4	RPL26	9606.ENSP00000364320	9606.ENSP00000463784	0.401	0.4
NCBP3	RTCB	9606.ENSP00000373657	9606.ENSP00000216038	0.401	0.4
NIFK	WDR36	9606.ENSP00000285814	9606.ENSP00000423067	0.401	0.4
NOC2L	RPL26	9606.ENSP00000317992	9606.ENSP00000463784	0.401	0.4
NOC3L	RPL26	9606.ENSP00000360412	9606.ENSP00000463784	0.401	0.4
PES1	RPL26	9606.ENSP00000346725	9606.ENSP00000463784	0.401	0.4
PRPF31	RBMX	9606.ENSP00000324122	9606.ENSP00000359645	0.401	0.4
RBM39	RPS3A	9606.ENSP00000253363	9606.ENSP00000346050	0.401	0.4
