NAME,Uniprot,stringId,DNA_Repair,GO_CC,GO_BP,GO_MF,Annotation,An.color,S6.FuzzyCMeans,Ku.FuzzyCMeans,Mre.FuzzyCMeans,S6.FC.nonIR5,S6.FC.IR5,S6.FC.IR30,S6.FC.IR2,S6S.FC.IR8,S6.FC.IR24,S6.FC.nonIR24,Ku.FC.nonIR5,Ku.FC.IR5,Ku.FC.IR30,Ku.FC.IR2,Ku.FC.IR8,Ku.FC.IR24,Ku.FC.nonIR24,Mre.FC.nonIR5,Mre.FC.IR5,Mre.FC.IR30,Mre.FC.IR2,Mre.FC.IR8,Mre.FC.IR24,Mre.FC.nonIR24
AAAS,Q9NRG9,9606.ENSP00000209873,0,nuclear pore,mitotic spindle assembly,protein binding,Nuclear Pore,deepskyblue3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.83633333,0,0,0,0
AATF,Q9NY61,9606.ENSP00000477848,DSB,transcription regulator complex ,histone deacetylation ,protein kinase binding ,DNA Repair,firebrick1,1,0,6,0,0,0,2.081666667,0,0,0,0,0,0,0,0,0,0,0,0,38.63466667,34.764,37.121,0,0
ABCE1,P61221,9606.ENSP00000296577,0,cytosolic ribosome,negative regulation of endoribonuclease activity,endoribonuclease inhibitor activity,RNA Metabolism,gold,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.493,0,0
ACACA,Q13085,9606.ENSP00000483300,SSB,actin cytoskeleton ,acetyl-CoA biosynthetic process ,damaged DNA binding ,Cell Cycle regulation,coral1,2,0,3,3.141666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.12466667,0,0
ACIN1,Q9UKV3,9606.ENSP00000262710,HR,ASAP complex ,RNA splicing ,ATPase activity ,RNA Metabolism,gold,2,0,0,2.225333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACLY,P53396,9606.ENSP00000253792,DSB,nucleoplasm ,acetyl-CoA biosynthetic process ,damaged DNA binding ,DNA Repair,firebrick1,0,0,0,0,2.578333333,1.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTB,P60709,9606.ENSP00000494750,NER,SWI/SNF complex,regulation of transcription from RNA polymerase II promoter,structural constituent of cytoskeleton,DNA Repair,firebrick1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,58.35933333,58.13566667,38.23833333,63.14166667,0,56.39733333
ACTG1,P63261,9606.ENSP00000458162,NER,filamentous actin ,"transcription, DNA-templated ",ubiquitin protein ligase binding ,Transcription Regulation,slateblue1,0,0,0,2.693666667,2.060666667,2.730666667,1.362,3.944,2.117333333,2.466666667,0.269333333,1.504,1.55,2.045,2.776666667,0.569333333,1.398,0,0,0,0,0,0,0
ACTL6A,O96019,9606.ENSP00000397552,0, SWI/SNF complex [GO:0016514],chromatin remodeling ,transcription coactivator activity ,Chromatin Organization,darkviolet,0,3,4,0,0,0,0,0,0,0,3.574,0,2.798666667,1.192,5.730333333,0,0,49,0,0,28.37266667,39.2965,50.9995,50.34183333
ACTN1,P12814,9606.ENSP00000377941,0, cortical actin cytoskeleton [GO:0030864],actin filament capping ,actin filament organization ,Transcription Regulation,slateblue1,0,2,6,0,0,0,0,0,0,0,0.118666667,0,0,1.767666667,3.286333333,0,0,0,0,48.72733333,32.95066667,31.82166667,0,0
