NAME,UniprotID,ProteinName,CellCompartment,DNA_Repair,GO_CC,GO_BP,GO_MF,stringId,Annotation,An.color,An.number,shScr.logFC,shNcl.logFC,shScr.Presence,shNcl.Presence,Time.Point,Order,Sensor
YTHDF2,Q9Y5A9,YTH domain-containing family protein 2 ,Nucleoplasm,MMR,centriolar satellite ,cell cycle ,mRNA binding ,9606.ENSP00000444660,Cell Cycle regulation,coral1,1,4.156444444,5.944444444,shScramble,shNcl,IR2h,3,Sirt6
TPX2,Q9ULW0,TPX2 microtubule nucleation factor,Nucleoplasm,RLOOPS,nuclear microtubule ,cell division ,protein kinase binding ,9606.ENSP00000300403,Cell Cycle regulation,coral1,1,0,10.41755556,0,shNcl,IR2h,3,Sirt6
YES1,P07947,Tyrosine-protein kinase Yes ,Nucleoplasm,0,actin filament,protein phosphorylation,protein tyrosine kinase activity,9606.ENSP00000462468,Cell Cycle regulation,coral1,1,5.611222222,6.320555556,shScramble,shNcl,IR2h,3,Sirt6
PPP1R10,Q96QC0,Protein phosphatase 1 regulatory subunit 10,Nucleoplasm,0,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,9606.ENSP00000365694,Cell Cycle regulation,coral1,1,0,7.996777778,0,shNcl,IR2h,3,Sirt6
WDR12,Q9GZL7,WD repeat domain 12,Nucleoli,DSB,PeBoW complex ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",ribonucleoprotein complex binding ,9606.ENSP00000261015,Cell Cycle regulation,coral1,1,7.036111111,5.748111111,shScramble,shNcl,IR2h,3,Sirt6
NUMA1,Q14980,Nuclear mitotic apparatus protein 1,Nucleoplasm,0,chromosome ,cell cycle ,microtubule binding ,9606.ENSP00000377298,Cell Cycle regulation,coral1,1,7.689666667,11.049,shScramble,shNcl,IR2h,3,Sirt6
VDAC1,P21796,Non-selective voltage-gated ion channel VDAC1 ,Nucleoplasm,0,nucleus,apoptotic process,porin activity,9606.ENSP00000378487,Cell Cycle regulation,coral1,1,6.539666667,9.119666667,shScramble,shNcl,IR2h,3,Sirt6
NLE1,Q9NVX2,Notchless homolog 1,Nucleoplasm/Nucleoli,DSB,nucleolus ,positive regulation of canonical Wnt signaling pathway ,rRNA binding ,9606.ENSP00000413572,Cell Cycle regulation,coral1,1,6.835333333,4.365666667,shScramble,shNcl,IR2h,3,Sirt6
TUBB,P07437,Tubulin beta chain ,Nucleoplasm,DSB,nuclear envelope ,microtubule cytoskeleton organization ,ubiquitin protein ligase binding ,9606.ENSP00000339001,Cell Cycle regulation,coral1,1,0,5.64,0,shNcl,IR2h,3,Sirt6
MT-CO2,P00403,Cytochrome c oxidase subunit 2 ,Nucleoplasm,0,mitochondrial membrane,positive regulation of necrotic cell death,cytochrome-c oxidase activity,9606.ENSP00000354876,Cell Cycle regulation,coral1,1,0,5.271,0,shNcl,IR2h,3,Sirt6
TTN,Q8WZ42,Titin ,Nucleoplasm,0,condensed nuclear chromosome ,"transcription, DNA-templated ",protein kinase binding ,9606.ENSP00000467141,Cell Cycle regulation,coral1,1,7.470444444,0,shScramble,0,IR2h,3,Sirt6
MTCH2,Q9Y6C9,Mitochondrial carrier homolog 2 ,Nucleoplasm,0,nucleus,positive regulation of apoptotic process,membrane insertase activity,9606.ENSP00000303222,Cell Cycle regulation,coral1,1,6.696222222,9.225555556,shScramble,shNcl,IR2h,3,Sirt6
TUBA1B,P68363,Tubulin alpha-1B chain ,Nucleoplasm,DSB,microtubule ,microtubule cytoskeleton organization ,ubiquitin protein ligase binding ,9606.ENSP00000336799,Cell Cycle regulation,coral1,1,0,6.495444444,0,shNcl,IR2h,3,Sirt6
MKI67,P46013,Marker of proliferation Ki-67,Nucleoplasm/Nucleolar_Rim,0,chromosome ,chromatin organization ,DNA binding ,9606.ENSP00000357643,Cell Cycle regulation,coral1,1,0,9.888444444,0,shNcl,IR2h,3,Sirt6
MISP,Q8IVT2,Mitotic interactor and substrate of PLK1 ,Nucleoplasm,HR,spindle pole centrosome ,cell division ,actin filament binding ,9606.ENSP00000215582,Cell Cycle regulation,coral1,1,7.386666667,0,shScramble,0,IR2h,3,Sirt6
