NAME,Uniprot,stringId,DNA_Repair,GO_CC,GO_BP,GO_MF,Annotation,An.color,An.number
H2AX,P16104,9606.ENSP00000434024,DSB,site of double-strand break ,double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,3
H2BC10,P62807,9606.ENSP00000321744,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
PPAN-P2RY11,A0A0B4J1V8,9606.ENSP00000377385,0,nucleolus ,rRNA processing ,rRNA binding ,RNA Metabolism,gold,8
GTPBP10,A4D1E9,9606.ENSP00000222511,0,nucleolus,ribosome biogenesis,RNA binding,Ribosome Biosynthesis,lightgreen,7
RGPD3,A6NKT7,9606.ENSP00000386588,0,nuclear pore,nucleocytoplasmic transport,GTPase activator activity,Nuclear Pore,deepskyblue3,4
RAVER1,E9PAU2,9606.ENSP00000293677,0,RNA Binding,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,8
AGPS,O00116,9606.ENSP00000264167,0,nucleolus,lipid biosynthetic process,FAD binding,Ribosome Biosynthesis,lightgreen,7
DDX39A,O00148,9606.ENSP00000242776,0,nucleus,mRNA splicing,RNA helicase activity,RNA Metabolism,gold,8
MYO1C,O00159,9606.ENSP00000496954,0,B-WICH complex ,mRNA transport ,actin filament organization ,p53 Pathway,tomato,5
SNAP23,O00161,9606.ENSP00000249647,0,nucleoplasm,exocytosis,SNAP receptor activity,Transcription Regulation,slateblue1,9
MEN1,O00255,9606.ENSP00000337088,0,MLL1 complex ,histone H3-K4 methylation ,chromatin binding ,DNA Repair,firebrick1,3
PGRMC1,O00264,9606.ENSP00000217971,0,Nucleolus,memory,beta-amyloid binding,Ribosome Biosynthesis,lightgreen,7
CLIC1,O00299,9606.ENSP00000364935,0,nuclear envelope ,regulation of cell cycle ,chloride channel activity ,Cell Cycle regulation,coral1,1
EIF3F,O00303,9606.ENSP00000431800,0, eukaryotic translation initiation factor 3 complex [GO:0005852],translational initiation,ribosome binding ,Ribosome Biosynthesis,lightgreen,7
IPO5,O00410,9606.ENSP00000261574,HR, nuclear pore [GO:0005643],nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
POLRMT,O00411,9606.ENSP00000465759,0,mitochondrial DNA-directed RNA polymerase complex [GO:0034245],"transcription, DNA-templated ",DNA binding ,Transcription Regulation,slateblue1,9
SAP18,O00422,9606.ENSP00000481842,0,histone deacetylase complex ,"negative regulation of transcription, DNA-templated ",transcription corepressor activity ,Transcription Regulation,slateblue1,9
IGF2BP3,O00425,9606.ENSP00000258729,0,P-body ,RNA processing ,mRNA binding ,p53 Pathway,tomato,5
PSMD14,O00487,9606.ENSP00000386541,HR,proteasome complex,proteasome-mediated ubiquitin-dependent protein catabolic process,proteasome binding,Proteasome,grey,6
PES1,O00541,9606.ENSP00000346725,0,PeBoW complex ,rRNA processing ,ribonucleoprotein complex binding ,Cell Cycle regulation,coral1,1
NOP56,O00567,9606.ENSP00000370589,DSB,small-subunit processome ,rRNA processing ,histone methyltransferase binding ,Ribosome Biosynthesis,lightgreen,7
DDX3X,O00571,9606.ENSP00000494040,0,P granule ,positive regulation of gene expression ,RNA helicase activity ,Chromatin Organization,darkviolet,2
KPNA4,O00629,9606.ENSP00000334373,0, nuclear membrane [GO:0031965],nucleocytoplasmic transport ,structural constituent of nuclear pore ,DNA Repair,firebrick1,3
TCERG1,O14776,9606.ENSP00000296702,0,nucleus,positive regulation of transcription from RNA polymerase II promoter,transcription coactivator activity,Transcription Regulation,slateblue1,9
PSMA7,O14818,9606.ENSP00000359910,HR,proteasome complex ,proteasomal protein catabolic process ,proteasome-activating ATPase activity ,Proteasome,grey,6
XPO1,O14980,9606.ENSP00000384863,0, nuclear envelope [GO:0005635],nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
SPTBN2,O15020,9606.ENSP00000432568,0,spectrin ,actin filament capping ,structural constituent of cytoskeleton ,DNA Repair,firebrick1,3
U2SURP,O15042,9606.ENSP00000418563,RLOOPS,nucleoplasm ,RNA processing ,RNA binding ,RNA Metabolism,gold,8
