NAME,UniprotID,ProteinName,CellCompartment,DNA_Repair,GO_CC,GO_BP,GO_MF,stringId,Annotation,An.color,An.number,shScr.logFC,shNcl.logFC,shScr.Presence,shNcl.Presence,Time.Point,Order,Sensor
ANXA5,P08758,Annexin A5,NuclearMem,0, focal adhesion [GO:0005925],negative regulation of apoptotic process,phospholipid binding,9606.ENSP00000296511,Cell Cycle regulation,coral1,1,0,4.229333333,0,shNcl,IR2h,3,Ku80ID
TOR1AIP1,Q5JTV8,Torsin 1A interacting protein 1,NuclearMem,0,nuclear envelope ,nuclear envelope organization ,lamin binding ,9606.ENSP00000435365,Cell Cycle regulation,coral1,1,5.231888889,0,shScramble,0,IR2h,3,Ku80ID
CPS1,P31327,Carbamoyl-phosphate synthase 1,Nucleolar_Rim,0,nucleolus ,cellular response to cAMP ,endopeptidase activity ,9606.ENSP00000402608,Cell Cycle regulation,coral1,1,7.169777778,3.321666667,shScramble,shNcl,IR2h,3,Ku80ID
EGFR,P00533,Epidermal growth factor receptor,Nucleoli,0, nuclear membrane [GO:0031965],positive regulation of protein kinase activity ,protein kinase binding ,9606.ENSP00000275493,Cell Cycle regulation,coral1,1,0,5.362333333,0,shNcl,IR2h,3,Ku80ID
NAT10,Q9H0A0,N-acetyltransferase 10,Nucleoli,0, telomerase holoenzyme complex [GO:0005697],telomere maintenance via telomerase ,telomerase RNA binding ,9606.ENSP00000257829,Cell Cycle regulation,coral1,1,8.095555556,3.113333333,shScramble,shNcl,IR2h,3,Ku80ID
GTPBP4,Q9BZE4,GTP binding protein 4,Nucleolar_Rim/NuclearMem,DSB,nuclear membrane ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",RNA binding ,9606.ENSP00000354040,Cell Cycle regulation,coral1,1,7.261777778,0,shScramble,0,IR2h,3,Ku80ID
WDR12,Q9GZL7,WD repeat domain 12,Nucleoli,DSB,PeBoW complex ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",ribonucleoprotein complex binding ,9606.ENSP00000261015,Cell Cycle regulation,coral1,1,6.648777778,0,shScramble,0,IR2h,3,Ku80ID
NOLC1,Q14978,Nucleolar and coiled-body phosphoprotein 1,Nucleoli_FibrillarCenter,DSB,box C/D RNP complex ,rRNA processing ,RNA binding ,9606.ENSP00000385410,Cell Cycle regulation,coral1,1,8.100222222,5.962,shScramble,shNcl,IR2h,3,Ku80ID
BUB3,O43684,BUB3 mitotic checkpoint protein,Nucleoplasm,DSB,bub1-bub3 complex ,cell division ,ubiquitin binding ,9606.ENSP00000357858,Cell Cycle regulation,coral1,1,5.944444444,2.267833333,shScramble,shNcl,IR2h,3,Ku80ID
ATP2C1,P98194,Calcium-transporting ATPase type 2C member 1 ,Nucleoplasm,0,endoplasmic reticulum,calcium ion transport,calcium-transporting ATPase activity,9606.ENSP00000421326,Cell Cycle regulation,coral1,1,3.561777778,1.982,shScramble,shNcl,IR2h,3,Ku80ID
CAPN1,P07384,Calpain-1 catalytic subunit ,Nucleoplasm,0,cytoplasm,positive regulation of cell proliferation,peptidase activity,9606.ENSP00000431984,Cell Cycle regulation,coral1,1,0,1.736833333,0,shNcl,IR2h,3,Ku80ID
CCAR1,Q8IX12,Cell division cycle and apoptosis regulator 1,Nucleoplasm,NER,nuclear envelope lumen ,"transcription, DNA-templated ",transcription corepressor activity ,9606.ENSP00000265872,Cell Cycle regulation,coral1,1,6.626,0,shScramble,0,IR2h,3,Ku80ID
RRS1,Q15050,Ribosome biogenesis regulator 1 homolog,Nucleoli,DSB,condensed nuclear chromosome ,chromatin organization ,RNA binding ,9606.ENSP00000322396,Cell Cycle regulation,coral1,1,4.728,0,shScramble,0,IR2h,3,Ku80ID
CHAMP1,Q96JM3,Chromosome alignment maintaining phosphoprotein 1,Nucleoplasm,0,condensed chromosome [GO:0000793]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819],attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; protein localization to kinetochore [GO:0034501]; protein localization to microtubule [GO:0035372]; sister chromatid biorientation [GO:0031134],metal ion binding [GO:0046872],9606.ENSP00000496699,Cell Cycle regulation,coral1,1,4.555333333,0,shScramble,0,IR2h,3,Ku80ID
DNM2,P50570,Dynamin-2 ,Nucleoplasm,NER,centrosome ,"transcription, DNA-templated ",protein kinase binding ,9606.ENSP00000373905,Cell Cycle regulation,coral1,1,5.118444444,0,shScramble,0,IR2h,3,Ku80ID
CCT6A,P40227,T-complex protein 1 subunit zeta ,Nucleoplasm,0,chaperonin-containing T-complex [GO:0005832],response to unfolded protein ,unfolded protein binding ,9606.ENSP00000275603,Cell Cycle regulation,coral1,1,3.276222222,3.575666667,shScramble,shNcl,IR2h,3,Ku80ID
EPB41L2,O43491,Erythrocyte membrane protein band 4.1 like 2,Nucleoplasm,0,nucleoplasm,cell cycle,structural molecule activity,9606.ENSP00000357110,Cell Cycle regulation,coral1,1,6.767666667,0,shScramble,0,IR2h,3,Ku80ID
FABP5,Q01469,Fatty acid-binding protein 5 ,Nucleoplasm,0,nucleoplasm ,lipid metabolic process ,lipid binding ,9606.ENSP00000297258,Cell Cycle regulation,coral1,1,0,2.006,0,shNcl,IR2h,3,Ku80ID
CFL1,P23528,Cofilin-1 ,Nucleoplasm,0,nuclear matrix ,negative regulation of apoptotic process ,actin filament binding ,9606.ENSP00000432660,Cell Cycle regulation,coral1,1,5.996555556,2.641666667,shScramble,shNcl,IR2h,3,Ku80ID
GOLGA2,Q08379,Golgin subfamily A member 2 ,Nucleoplasm,0, COPII-coated ER to Golgi transport vesicle [GO:0030134],cell division ,protein kinase binding ,9606.ENSP00000416097,Cell Cycle regulation,coral1,1,7.889777778,0,shScramble,0,IR2h,3,Ku80ID
DHCR7,Q9UBM7,7-dehydrocholesterol reductase ,Nucleoplasm,0,endoplasmic reticulum,cholesterol biosynthetic process,NADP binding,9606.ENSP00000347717,Cell Cycle regulation,coral1,1,6.941555556,3.7195,shScramble,shNcl,IR2h,3,Ku80ID
GSTP1,P09211,Glutathione S-transferase P ,Nucleoplasm,0,nucleus,negative regulation of apoptotic process,glutathione transferase activity,9606.ENSP00000381607,Cell Cycle regulation,coral1,1,0,3.790333333,0,shNcl,IR2h,3,Ku80ID
HNRNPA0,Q13151,Heterogeneous nuclear ribonucleoprotein A0,Nucleoplasm,0,nucleoplasm ,3'-UTR-mediated mRNA stabilization ,mRNA binding ,9606.ENSP00000316042,Cell Cycle regulation,coral1,1,6.157555556,1.985666667,shScramble,shNcl,IR2h,3,Ku80ID
ANAPC7,Q9UJX3,Anaphase promoting complex subunit 7,Nucleoplasm,0,anaphase-promoting complex,regulation of mitotic cell cycle,protein phosphatase binding,9606.ENSP00000394394,Cell Cycle regulation,coral1,1,3.708666667,0,shScramble,0,IR2h,3,Ku80ID
LASP1,Q14847,LIM and SH3 domain protein 1 ,Nucleoplasm,0,cytoskeleton,ion transmembrane transport,actin filament binding,9606.ENSP00000325240,Cell Cycle regulation,coral1,1,4.682555556,0,shScramble,0,IR2h,3,Ku80ID
FDFT1,P37268,Squalene synthase ,Nucleoplasm,0,"endoplasmic reticulum,",farnesyl diphosphate metabolic process,"farnesyltranstransferase activity,",9606.ENSP00000491537,Cell Cycle regulation,coral1,1,6.301333333,4.8925,shScramble,shNcl,IR2h,3,Ku80ID
MISP,Q8IVT2,Mitotic interactor and substrate of PLK1 ,Nucleoplasm,HR,spindle pole centrosome ,cell division ,actin filament binding ,9606.ENSP00000215582,Cell Cycle regulation,coral1,1,7.011666667,0,shScramble,0,IR2h,3,Ku80ID
GNAI2,P04899,G protein subunit alpha i2,Nucleoplasm,0, membrane raft [GO:0045121],cell cycle ,GTPase activity ,9606.ENSP00000312999,Cell Cycle regulation,coral1,1,5.744555556,3.003666667,shScramble,shNcl,IR2h,3,Ku80ID
PKN2,Q16513,Protein kinase N2,Nucleoplasm,0,apical junction complex [GO:0043296]; centrosome [GO:0005813]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intermediate filament cytoskeleton [GO:0045111]; lamellipodium [GO:0030027]; midbody [GO:0030496]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991],"Apoptosis, Cell adhesion, Cell cycle, Cell division, Cilium biogenesis/degradation, Host-virus interaction, Transcription, Transcription regulation","Kinase, Serine/threonine-protein kinase, Transferase",9606.ENSP00000359552,Cell Cycle regulation,coral1,1,4.623111111,0,shScramble,0,IR2h,3,Ku80ID
ANXA11,P50995,Annexin A11,Nucleoplasm,0,nuclear envelope,cytokinetic process,calcium ion binding,9606.ENSP00000398610,Cell Cycle regulation,coral1,1,1.931444444,0,shScramble,0,IR2h,3,Ku80ID
PTPMT1,Q8WUK0,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 ,Nucleoplasm,0,nucleus,dephosphorylation,phosphoprotein phosphatase activity,9606.ENSP00000325958,Cell Cycle regulation,coral1,1,4.776555556,0,shScramble,0,IR2h,3,Ku80ID
SCRIB,Q14160,Scribble planar cell polarity protein,Nucleoplasm,BER,Scrib-APC-beta-catenin complex ,"transcription, DNA-templated ",cadherin binding ,9606.ENSP00000349486,Cell Cycle regulation,coral1,1,5.504444444,0,shScramble,0,IR2h,3,Ku80ID
