NAME,UniprotID,ProteinName,CellCompartment,DNA_Repair,GO_CC,GO_BP,GO_MF,stringId,Annotation,An.color,An.number,shScr.logFC,shNcl.logFC,shScr.Presence,shNcl.Presence,Time.Point,Order,Sensor
ANXA5,P08758,Annexin A5,NuclearMem,0, focal adhesion [GO:0005925],negative regulation of apoptotic process,phospholipid binding,9606.ENSP00000296511,Cell Cycle regulation,coral1,1,0,3.772444444,0,shNcl,IR2h,3,Mre11ID
CKAP5,Q14008,Cytoskeleton associated protein 5,Nucleolar_Rim,0,centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922],"Cell cycle, Cell division, Mitosis",cadherin binding [GO:0045296]; microtubule binding [GO:0008017]; microtubule plus end polymerase [GO:0061863]; microtubule plus-end binding [GO:0051010]; ribonucleoprotein complex binding [GO:0043021],9606.ENSP00000432768,Cell Cycle regulation,coral1,1,0,3.867777778,0,shNcl,IR2h,3,Mre11ID
GTPBP4,Q9BZE4,GTP binding protein 4,Nucleolar_Rim/NuclearMem,DSB,nuclear membrane ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",RNA binding ,9606.ENSP00000354040,Cell Cycle regulation,coral1,1,5.461111111,5.474111111,shScramble,shNcl,IR2h,3,Mre11ID
EGFR,P00533,Epidermal growth factor receptor,Nucleoli,0, nuclear membrane [GO:0031965],positive regulation of protein kinase activity ,protein kinase binding ,9606.ENSP00000275493,Cell Cycle regulation,coral1,1,2.061444444,6.178777778,shScramble,shNcl,IR2h,3,Mre11ID
CCT6A,P40227,T-complex protein 1 subunit zeta ,Nucleoplasm,0,chaperonin-containing T-complex [GO:0005832],response to unfolded protein ,unfolded protein binding ,9606.ENSP00000275603,Cell Cycle regulation,coral1,1,0,5.552222222,0,shNcl,IR2h,3,Mre11ID
NAT10,Q9H0A0,N-acetyltransferase 10,Nucleoli,0, telomerase holoenzyme complex [GO:0005697],telomere maintenance via telomerase ,telomerase RNA binding ,9606.ENSP00000257829,Cell Cycle regulation,coral1,1,6.983222222,6.232555556,shScramble,shNcl,IR2h,3,Mre11ID
FDFT1,P37268,Squalene synthase ,Nucleoplasm,0,"endoplasmic reticulum,",farnesyl diphosphate metabolic process,"farnesyltranstransferase activity,",9606.ENSP00000491537,Cell Cycle regulation,coral1,1,0,6.999666667,0,shNcl,IR2h,3,Mre11ID
WDR12,Q9GZL7,WD repeat domain 12,Nucleoli,DSB,PeBoW complex ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",ribonucleoprotein complex binding ,9606.ENSP00000261015,Cell Cycle regulation,coral1,1,6.077444444,4.515111111,shScramble,shNcl,IR2h,3,Mre11ID
ANAPC7,Q9UJX3,Anaphase promoting complex subunit 7,Nucleoplasm,0,anaphase-promoting complex,regulation of mitotic cell cycle,protein phosphatase binding,9606.ENSP00000394394,Cell Cycle regulation,coral1,1,4.513666667,4.079333333,shScramble,shNcl,IR2h,3,Mre11ID
NOLC1,Q14978,Nucleolar and coiled-body phosphoprotein 1,Nucleoli_FibrillarCenter,DSB,box C/D RNP complex ,rRNA processing ,RNA binding ,9606.ENSP00000385410,Cell Cycle regulation,coral1,1,0,7.393555556,0,shNcl,IR2h,3,Mre11ID
