NAME,DNA_Repair,GO_CC,GO_BP,GO_MF,Uniprot,stringId,Description,nonIR5,IR5,IR30,IR2h,IR8h,IR24h,nonIR24,FC.nonIR5,FC.IR5,FC.IR30,FC.IR2,FC.IR8,FC.IR24,FC.nonIR24,Annotation,An.color,An.number,FuzzyCMeans,Sensor,All_Venn,nonIR5_Venn,IR5_Venn,IR30_Venn,IR2_Venn,IR8_Venn,IR24_Venn,nonIR24_Venn,C2hrs_Venn,C8hrs_Venn,Cmin2hrs_Venn,C2&8hrs_Venn,PCA,OPLS.Sensor,OPLS.Test,VIP.S6vsMre,VIP.S6vsKu,VIP.KuvsMre,Degree,Eigen,Closeness,Betweeness,Hubs,Authority,Transitivity,nonIR5.Degree,nonIR5.Connectivity,nonIR5.Participation,nonIR5.Module,nonIR5.Role,IR5.Degree,IR5.Connectivity,IR5.Participation,IR5.Module,IR5.Role,IR30.Degree,IR30.Connectivity,IR30.Participation,IR30.Module,IR30.Role,IR2.Degree,IR2.Connectivity,IR2.Participation,IR2.Module,IR2.Role,IR8.Degree,IR8.Connectivity,IR8.Participation,IR8.Module,IR8.Role,IR24.Degree,IR24.Connectivity,IR24.Participation,IR24.Module,IR24.Role,nonIR24.Degree,nonIR24.Connectivity,nonIR24.Participation,nonIR24.Module,nonIR24.Role,Sensor2
FLI1,ForkStall,chromatin ,"transcription, DNA-templated ",chromatin binding ,Q01543,9606.ENSP00000433488,Friend leukemia integration 1 transcription factor; Sequence-specific transcriptional activator. Recognizes the DNA sequence 5'-C[CA]GGAAGT-3'; Belongs to the ETS family,1,0,1,1,1,1,0,9.021333333,1,8.755333333,10.389,13.64566667,10.88733333,1,DNA Repair,firebrick1,3,0,Sirt6,S6,S6,0,S6,S6,S6,S6,0,0,0,0,0,PC6,Sirt6,S6vsMre&S6vsKu,1.700417395,1.968318387,0.602400778,0,3.23084E-18,0,0,0,0,0,1,-1.203442091,0,2,Ultra peripheral,0,0,0,0,0,1,-1.179487302,0,8,Ultra peripheral,0,0,0,0,0,1,-1.140570426,0,5,Ultra peripheral,0,0,0,0,0,0,0,0,0,0,Sirt6
SPTAN1,0,spectrin ,actin filament capping ,structural constituent of cytoskeleton ,Q13813,9606.ENSP00000361824,"Spectrin alpha chain, non-erythrocytic 1; Fodrin, which seems to be involved in secretion, interacts with calmodulin in a calcium-dependent manner and is thus candidate for the calcium-dependent movement of the cytoskeleton at the membrane; EF-hand domain containing",1,1,1,1,1,1,1,8.73,8.703666667,9.178,10.439,11.80433333,9.922,9.86733333,DNA Repair,firebrick1,3,4,Sirt6,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,0,S6,0,0,0,S6&Ku,S6vsMre&MrevsKu,2.109727188,0.017979975,2.125948429,3,0.000126775,0.586367608,0.001472392,0.000126775,0.000126775,0,2,-0.743718655,0,5,Ultra peripheral,1,0,0,3,Ultra peripheral,1,0,0,6,Ultra peripheral,1,-0.983135236,0,5,Ultra peripheral,2,1.366513487,0,6,Ultra peripheral,1,-1.578338678,0,2,Ultra peripheral,1,0,0,1,Ultra peripheral,Sirt6
NUMA1,0,chromosome ,cell cycle ,microtubule binding ,Q14980,9606.ENSP00000377298,"Nuclear mitotic apparatus protein 1; Microtubule (MT)-binding protein that plays a role in the formation and maintenance of the spindle poles and the alignement and the segregation of chromosomes during mitotic cell division. Functions to tether the minus ends of MTs at the spindle poles, which is critical for the establishment and maintenance of the spindle poles. Plays a role in the establishment of the mitotic spindle orientation during metaphase and elongation during anaphase in a dynein-dynactin-dependent manner. In metaphase, part of a ternary complex composed of GPSM2 and G(i) a [...] ",1,1,1,1,1,1,1,9.272,9.446,10.50166667,9.517,11.644,10.447,9.119,Cell Cycle regulation,coral1,1,4,Sirt6,S6&Ku&Mre,S6&Ku,S6,S6&Ku,S6&Ku,S6&Ku,S6,S6&Mre,0,S6,Mre,0,0,Sirt6,S6vsMre&S6vsKu,1.978323524,2.086346123,0.919153235,9,0.000518932,0.860387679,0.008588953,0.000518932,0.000518932,0.194444444,3,-0.779491319,0,5,Ultra peripheral,4,-1.787908836,0.499577134,2,Peripheral,4,-1.538865678,0.499577134,9,Peripheral,4,-2.090063197,0.49557309,6,Peripheral,5,-0.61231142,0,4,Ultra peripheral,4,-0.587490608,0.351762305,5,Peripheral,1,-0.888896867,0,5,Ultra peripheral,Sirt6
PTBP1,NER,nucleoplasm ,RNA splicing ,DNA binding ,P26599,9606.ENSP00000349428,Polypyrimidine tract-binding protein 1; Plays a role in pre-mRNA splicing and in the regulation of alternative splicing events. Activates exon skipping of its own pre-mRNA during muscle cell differentiation. Binds to the polypyrimidine tract of introns. May promote RNA looping when bound to two separate polypyrimidine tracts in the same pre-mRNA. May promote the binding of U2 snRNP to pre-mRNA. Cooperates with RAVER1 to modulate switching between mutually exclusive exons during maturation of the TPM1 pre-mRNA. Represses the splicing of MAPT/Tau exon 10. In case of infection by picornav [...] ,1,1,1,1,1,1,1,10.88733333,10.07333333,9.357333333,10.27866667,11.57466667,11.22366667,11.408,RNA Metabolism,gold,8,5,Sirt6,S6&Ku&Mre,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku&Mre,S6&Ku,0,0,0,Ku,PC5,S6&Ku,S6vsMre&MrevsKu,2.023900209,0.189884339,2.004319415,13,0.000294198,0.717655632,3.61589E-05,0.000294198,0.000294198,0.41025641,12,0.60368902,0,2,Ultra peripheral,12,0.55084858,0,1,Ultra peripheral,11,0.487561768,0,8,Ultra peripheral,12,-0.362357087,0,8,Ultra peripheral,11,-0.566121383,0,5,Ultra peripheral,11,0.553882616,0,1,Ultra peripheral,11,-0.235216872,0,3,Ultra peripheral,Sirt6
RPS18,0,nucleolus ,ribosome biogenesis ,structural constituent of ribosome ,P62269,9606.ENSP00000393241,"40S ribosomal protein S18; Located at the top of the head of the 40S subunit, it contacts several helices of the 18S rRNA; S ribosomal proteins",1,1,1,1,1,1,1,8.735666667,6.409333333,9.237333333,9.79733333,11.43966667,8.564333333,8.829333333,Ribosome Biosynthesis,lightgreen,7,0,Sirt6,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,0,0,0,0,0,S6&Ku,S6vsMre&MrevsKu,2.117759595,1.360799335,2.055953377,115,0.98822985,0.817002786,0.000473347,0.98822985,0.98822985,0.537147216,38,1.273253199,0.052225748,1,Peripheral,40,0.780854566,0.452463603,8,Peripheral,42,1.233547652,0.091431774,2,Peripheral,59,0.567199521,0.374479962,3,Peripheral,68,0.684062692,0.361749239,1,Peripheral,36,0.513955577,0.428401998,6,Peripheral,43,0.475104843,0.373842475,4,Peripheral,Sirt6
TPR,DSB,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,P12270,9606.ENSP00000356448,"Nucleoprotein TPR; Component of the nuclear pore complex (NPC), a complex required for the trafficking across the nuclear envelope. Functions as a scaffolding element in the nuclear phase of the NPC essential for normal nucleocytoplasmic transport of proteins and mRNAs, plays a role in the establishment of nuclear-peripheral chromatin compartmentalization in interphase, and in the mitotic spindle checkpoint signaling during mitosis. Involved in the quality control and retention of unspliced mRNAs in the nucleus; in association with NUP153, regulates the nuclear export of unspliced mRNA [...] ",1,1,1,1,1,1,1,9.9515,9.5495,10.15516667,8.3655,11.20483333,10.7925,10.17383333,Cell Cycle regulation,coral1,1,0,Sirt6,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,Ku,0,Mre,0,0,Sirt6,S6vsKu,1.181780708,1.394264326,0.437516303,5,2.80743E-05,0.842644397,0.003030119,2.80743E-05,2.80743E-05,0.5,5,-1.573353967,0.419929572,3,Peripheral,5,-1.316946743,0.277510924,2,Peripheral,4,-1.214705319,0.340791872,9,Peripheral,7,-1.647798944,0.310846001,6,Peripheral,7,-0.35697342,0.194865951,4,Peripheral,5,-1.137072541,0.2721875,7,Peripheral,4,-1.386209573,0.340791872,2,Peripheral,Sirt6
RPLP0,DSB,ribonucleoprotein complex ,ribosome biogenesis ,structural constituent of ribosome ,P05388,9606.ENSP00000449328,Ribosomal protein lateral stalk subunit p0; 60S acidic ribosomal protein P0; Ribosomal protein P0 is the functional equivalent of E.coli protein L10,1,1,1,1,1,1,1,6.769666667,7.821333333,8.999333333,9.395,11.02533333,8.848333333,8.598333333,Ribosome Biosynthesis,lightgreen,7,0,Sirt6,S6&Ku&Mre,S6&Ku,S6&Ku,S6&Ku&Mre,S6&Ku,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,0,0,Mre,0,0,S6&Ku,S6vsMre&MrevsKu,1.291617367,0.378305085,1.324575502,90,0.829967834,0.854530504,0.007145075,0.829967834,0.829967834,0.669912609,34,0.720897888,0.113909588,1,Peripheral,31,0.894538922,0.094294531,8,Peripheral,35,0.616987688,0.109051623,2,Peripheral,49,0.517716411,0.141571421,3,Peripheral,63,0.736690905,0.179784851,1,Peripheral,30,0.708039646,0.093601398,6,Peripheral,38,0.563823882,0.15178453,4,Peripheral,Sirt6
NONO,0,RNA polymerase II transcription regulator complex ,"mRNA splicing, via spliceosome ",chromatin binding ,Q15233,9606.ENSP00000276079,"Non-POU domain-containing octamer-binding protein; DNA- and RNA binding protein, involved in several nuclear processes. Binds the conventional octamer sequence in double-stranded DNA. Also binds single-stranded DNA and RNA at a site independent of the duplex site. Involved in pre-mRNA splicing, probably as a heterodimer with SFPQ. Interacts with U5 snRNA, probably by binding to a purine-rich sequence located on the 3' side of U5 snRNA stem 1b. Together with PSPC1, required for the formation of nuclear paraspeckles. The SFPQ-NONO heteromer associated with MATR3 may play a role in nuclea [...] ",1,1,1,1,1,1,1,8.231166667,9.079,9.58866667,9.087333333,10.935,9.99366667,8.729,DNA Repair,firebrick1,3,4,Sirt6,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,Ku,S6,0,Ku,PC5,S6&Ku,S6vsMre&MrevsKu,1.573861795,0.262901195,1.668071433,9,0.000428761,0.749373342,0.000841298,0.000428761,0.000428761,0.333333333,4,-0.839471156,0.323848531,2,Peripheral,3,-1.026874355,0.382145136,1,Peripheral,3,-0.806220148,0,8,Ultra peripheral,5,-0.991422136,0.526098616,8,Peripheral,3,-1.054199098,0.382145136,5,Peripheral,4,-0.824527265,0.361552119,1,Peripheral,4,-1.06648062,0.356078224,3,Peripheral,Sirt6
SLC25A5,DSB,MMXD complex ,chromosome segregation ,ubiquitin protein ligase binding ,P05141,9606.ENSP00000360671,"Solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31; ADP/ATP translocase 2; Catalyzes the exchange of cytoplasmic ADP with mitochondrial ATP across the mitochondrial inner membrane. As part of the mitotic spindle-associated MMXD complex it may play a role in chromosome segregation; Solute carriers",1,1,1,1,1,1,1,9.889,5.885,10.50433333,8.612333333,10.919,8.926666667,8.816333333,DNA Repair,firebrick1,3,0,Sirt6,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,0,0,0,0,0,Sirt6,S6vsMre&S6vsKu,2.071237879,1.27889924,2.044479296,3,0.00222185,0.680356788,0.000148975,0.00222185,0.00222185,0,9,-1.368731132,0.361687784,1,Peripheral,7,-1.442705322,0.267521106,8,Peripheral,9,-1.554364076,0.369839403,2,Peripheral,13,-2.240412757,0.261225794,3,Peripheral,14,-1.732756354,0.248894506,1,Peripheral,9,-1.535318093,0.361235412,6,Peripheral,9,-2.273923425,0.361348405,4,Peripheral,Sirt6
SHMT2,0,BRISC complex ,negative regulation of protein ubiquitination ,methyltransferase activity ,P34897,9606.ENSP00000333667,"Serine hydroxymethyltransferase, mitochondrial; Contributes to the de novo mitochondrial thymidylate biosynthesis pathway via its role in glycine and tetrahydrofolate metabolism. Thymidylate biosynthesis is required to prevent uracil accumulation in mtDNA. Interconversion of serine and glycine. Associates with mitochondrial DNA. Plays a role in the deubiquitination of target proteins as component of the BRISC complex. Required for IFNAR1 deubiquitination by the BRISC complex; Belongs to the SHMT family",1,1,1,1,1,1,1,7.403666667,5.840666667,7.267666667,8.372666667,10.76933333,7.002666667,7.554666667,Chromatin Organization,darkviolet,2,4,Sirt6,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,0,S6,0,0,0,S6&Ku,S6vsMre&MrevsKu,2.124342265,0.911735683,2.07750058,1,4.71766E-05,0.511717692,0,4.71766E-05,4.71766E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
