NAME,UniprotID,SensorID_Presence,CellCompartment,ProteinName,DNA_Repair,GO_CC,GO_BP,GO_MF,stringId,An.color,An.number,Annotation,Sirt6ID_IR2h,Ku80ID_IR2h,Mre11ID_IR2h,Sirt6_shScr.logFC,Sirt6_shNcl.logFC,Sirt6_DiffBound.logFC,Ku80ID_shScr.logFC,Ku80ID_shNcl.logFC,Ku80ID_DiffBound.logFC,Mre11_shScr.logFC,Mre11_shNcl.logFC,Mre11_DiffBound.logFC,Sirt6_shScr.Treatment,Sirt6_shNcl.Treatment,Sirt6_DiffBound.Treatment,Ku80ID_shScr.Treatment,Ku80ID_shNcl.Treatment,Ku80ID_DiffBound.Treatment,Mre11_shScr.Treatment,Mre11_shNcl.Treatment,Mre11_DiffBound.Treatment,Sirt6_shScr.T.Test,Sirt6_shNcl.T.Test,Sirt6_DiffBound.T.Test,Ku80ID_shScr.T.Test,Ku80ID_shNcl.T.Test,Ku80ID_DiffBound.T.Test,Mre11_shScr.T.Test,Mre11_shNcl.T.Test,Mre11_DiffBound.T.Test,Sirt6ID_Presence,Ku80_Prescence,Mre11_Prescence,Sirt6_shScr.p.mod,Sirt6_shScr.q.ord,Sirt6_shScr.q.mod,Sirt6_shNcl.p.mod,Sirt6_shNcl.q.ord,Sirt6_shNcl.q.mod,Sirt6_DiffBound.p.mod,Sirt6_DiffBound.q.ord,Sirt6_DiffBound.q.mod,Ku80ID_shScr.p.mod,Ku80ID_shScr.q.ord,Ku80ID_shScr.q.mod,Ku80ID_shNcl.p.mod,Ku80ID_shNcl.q.ord,Ku80ID_shNcl.q.mod,Ku80ID_DiffBound.p.mod,Ku80ID_DiffBound.q.ord,Ku80ID_DiffBound.q.mod,Mre11_shScr.p.mod,Mre11_shScr.q.ord,Mre11_shScr.q.mod,Mre11_shNcl.p.mod,Mre11_shNcl.q.ord,Mre11_shNcl.q.mod,Mre11_DiffBound.p.mod,Mre11_DiffBound.q.ord,Mre11_DiffBound.q.mod,Time.Point,Order
ANXA5,P08758,ANXA5,NuclearMem,Annexin A5,0, focal adhesion [GO:0005925],negative regulation of apoptotic process,phospholipid binding,9606.ENSP00000296511,coral1,1,Cell Cycle regulation,0,P08758,0,0,0,0,0,4.229333333,5.186333333,0,3.772444444,5.203666667,0,0,0,0,shNcl,shNcl,0,shNcl,shNcl,0,0,0,0,shNcl_vs_Cneg,shNcl_vs_shScr,0,shNcl_vs_Cneg,shNcl_vs_shScr,Sirt6,Ku80,Mre11ID,0,0,0,0,0,0,0,0,0,0,0,0,0.011335372,0.006779337,0.002856035,0.030240738,0.035682187,0.036975743,0,0,0,0.002761306,0.001427259,0.000717456,0.041145029,0.37605374,0.401048439,IR2h,3
GTPBP4,Q9BZE4,GTPBP4,Nucleolar_Rim/NuclearMem,GTP binding protein 4,DSB,nuclear membrane ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",RNA binding ,9606.ENSP00000354040,coral1,1,Cell Cycle regulation,0,Q9BZE4,0,7.846111111,6.340777778,0,7.261777778,0,0,5.461111111,5.474111111,0,shScramble,shNcl,0,shScramble,0,0,shScramble,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,0,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.008773435,0.002198558,0.001213162,0.021113868,0.02150793,0.012975796,0,0,0,0.0144994,0.002027434,0.002633911,0,0,0,0,0,0,0.040181881,0.014278056,0.013907562,0.044539725,0.010521637,0.006567654,0,0,0,IR2h,3
EGFR,P00533,EGFR,Nucleoli,Epidermal growth factor receptor,0, nuclear membrane [GO:0031965],positive regulation of protein kinase activity ,protein kinase binding ,9606.ENSP00000275493,coral1,1,Cell Cycle regulation,0,0,P00533,0,6.627444444,8.612333333,0,5.362333333,6.319333333,2.061444444,6.178777778,0,0,shNcl,shNcl,0,shNcl,shNcl,shScramble,shNcl,0,0,shNcl_vs_Cneg,shNcl_vs_shScr,0,shNcl_vs_Cneg,shNcl_vs_shScr,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0,0,0,1.77715E-08,2.26631E-08,7.21571E-07,0.000541103,0.093977766,0.022323712,0,0,0,0.01025159,0.006779337,0.00285456,0.029971719,0.035682187,0.036975743,0.016815273,0.006537547,0.007657924,0.001253769,0.001176082,0.000570081,0,0,0,IR2h,3
NAT10,Q9H0A0,NAT10,Nucleoli,N-acetyltransferase 10,0, telomerase holoenzyme complex [GO:0005697],telomere maintenance via telomerase ,telomerase RNA binding ,9606.ENSP00000257829,coral1,1,Cell Cycle regulation,0,Q9H0A0,0,7.997555556,7.411222222,0,8.095555556,3.113333333,-3.531666667,6.983222222,6.232555556,0,shScramble,shNcl,0,shScramble,shNcl,shScramble,shScramble,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,shNcl_vs_shScr,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.008675863,0.002190434,0.001203954,0.01000036,0.015312294,0.007078232,0,0,0,0.00787045,0.001525334,0.001728774,0.299629042,0.006779337,0.004619477,0.00201111,0.007373879,0.008647161,0.013288922,0.013453822,0.006533751,0.027571227,0.008482096,0.004433629,0,0,0,IR2h,3
FDFT1,P37268,FDFT1,Nucleoplasm,Squalene synthase ,0,"endoplasmic reticulum,",farnesyl diphosphate metabolic process,"farnesyltranstransferase activity,",9606.ENSP00000491537,coral1,1,Cell Cycle regulation,0,0,0,4.127666667,5.331333333,0,6.301333333,4.8925,0,0,6.999666667,5.559,shScramble,shNcl,0,shScramble,shNcl,0,0,shNcl,shNcl,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,0,shNcl_vs_Cneg,shNcl_vs_shScr,Sirt6,Ku80,Mre11ID,0.001754429,0.000668431,0.000355831,0.000261314,0.001679437,0.000609255,0,0,0,9.6545E-05,0.000560889,0.000218456,0.04666959,0.006779337,0.004619477,0,0,0,0,0,0,4.55377E-05,0.000282899,7.42845E-05,0.026374768,0.37605374,0.401048439,IR2h,3
WDR12,Q9GZL7,WDR12,Nucleoli,WD repeat domain 12,DSB,PeBoW complex ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",ribonucleoprotein complex binding ,9606.ENSP00000261015,coral1,1,Cell Cycle regulation,Q9GZL7,0,0,7.036111111,5.748111111,0,6.648777778,0,-7.666666667,6.077444444,4.515111111,0,shScramble,shNcl,0,shScramble,0,shScramble,shScramble,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,0,shNcl_vs_shScr,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.001600667,0.000717477,0.000331603,0.004696868,0.008804253,0.004051652,0,0,0,0.003357674,0.001525334,0.000929349,0,0,0,0.000619232,0.024751536,0.00324607,0.00312959,0.006119995,0.002644542,0.021220043,0.006926203,0.003629661,0,0,0,IR2h,3
ANAPC7,Q9UJX3,ANAPC7,Nucleoplasm,Anaphase promoting complex subunit 7,0,anaphase-promoting complex,regulation of mitotic cell cycle,protein phosphatase binding,9606.ENSP00000394394,coral1,1,Cell Cycle regulation,0,0,0,6.969333333,6.335333333,0,3.708666667,0,0,4.513666667,4.079333333,0,shScramble,shNcl,0,shScramble,0,0,shScramble,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,0,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.001242837,0.000620782,0.000281554,0.001939005,0.005704376,0.002298011,0,0,0,0.086460786,0.006475508,0.004982816,0,0,0,0,0,0,0.015655674,0.013453822,0.007314796,0.029078339,0.008404809,0.004624288,0,0,0,IR2h,3
NOLC1,Q14978,NOLC1,Nucleoli_FibrillarCenter,Nucleolar and coiled-body phosphoprotein 1,DSB,box C/D RNP complex ,rRNA processing ,RNA binding ,9606.ENSP00000385410,coral1,1,Cell Cycle regulation,Q14978,Q14978,0,6.831555556,8.333555556,0,8.100222222,5.962,0,0,7.393555556,0,shScramble,shNcl,0,shScramble,shNcl,0,0,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,0,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.029178472,0.005320089,0.003351872,0.007769265,0.013167451,0.005849009,0,0,0,0.012502674,0.00183772,0.002479609,0.084704786,0.006779337,0.004619477,0,0,0,0,0,0,0.019557845,0.006920652,0.003440575,0,0,0,IR2h,3
YES1,P07947,YES1,Nucleoplasm,Tyrosine-protein kinase Yes ,0,actin filament,protein phosphorylation,protein tyrosine kinase activity,9606.ENSP00000462468,coral1,1,Cell Cycle regulation,0,0,0,5.611222222,6.320555556,0,6.528888889,0,-5.472333333,0,6.412888889,0,shScramble,shNcl,0,shScramble,0,shScramble,0,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,0,shNcl_vs_shScr,0,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.002443034,0.000894817,0.000449462,0.000468261,0.002641078,0.000893338,0,0,0,0.000513175,0.001236205,0.000536857,0,0,0,0.017284709,0.035682187,0.036975743,0,0,0,0.000458294,0.000951216,0.000304558,0,0,0,IR2h,3
PPP1CB,P62140,PPP1CB,Nucleoplasm,Protein phosphatase 1 catalytic subunit beta,0,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,9606.ENSP00000378769,coral1,1,Cell Cycle regulation,0,0,P62140,4.513222222,6.055888889,0,4.656555556,3.433833333,0,0,6.004888889,3.656,shScramble,shNcl,0,shScramble,shNcl,0,0,shNcl,shNcl,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,0,shNcl_vs_Cneg,shNcl_vs_shScr,Sirt6,Ku80,Mre11ID,0.000666802,0.000348752,0.000175815,8.10481E-05,0.000900111,0.000288679,0,0,0,0.000696034,0.001248379,0.000626257,0.08498791,0.006779337,0.004619477,0,0,0,0,0,0,6.62882E-05,0.000322441,9.28231E-05,0.046725819,0.37605374,0.401048439,IR2h,3
